CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_저가_clust_id
4919,-1,2,0,1,-3,2,1
4920,0,0,3,0,-2,1,2
4921,0,0,-1,1,0,2,5
4922,0,3,-3,0,-1,0,1
4923,0,-1,0,-1,2,-3,5
4924,1,1,0,0,-2,0,2
4925,4,-3,3,0,0,-1,3
4927,-1,2,-1,0,-2,3,1
4928,0,3,0,-2,-1,2,0
4929,-3,1,0,2,-1,-2,1
4930,-2,-1,0,3,0,-3,1
4931,0,-1,-1,1,-1,0,4
4932,-1,1,-1,-1,2,-1,0
4933,3,-1,-1,0,2,-3,5
4934,1,0,0,-1,0,0,5
4935,-2,2,1,-2,1,-2,0
4936,0,3,0,-3,2,-1,0
4937,0,2,-2,2,-3,1,1
4938,1,0,-1,1,0,-1,5
4939,3,-3,0,-1,4,0,5
4940,-3,2,1,-3,3,-2,0
4941,2,-3,3,-3,1,1,3
4942,2,-3,1,-1,1,1,3
4943,3,-1,-2,2,-2,3,4
4944,0,0,3,-2,2,-3,3
4945,0,-2,1,0,1,0,2
4946,-3,3,-3,1,-1,3,1
4947,0,3,-1,-1,2,-3,0
4948,0,-3,2,0,-2,0,2
4949,-1,1,1,0,0,0,2
4950,0,3,-3,2,0,-1,1
4951,0,-2,2,0,0,-1,2
4952,-2,3,-1,0,0,-2,0
4953,2,-1,-2,1,2,0,5
4954,-2,-1,0,3,-3,-1,1
4955,1,-2,3,0,-3,3,2
4956,0,1,-1,2,-1,0,1
4957,-1,0,3,-1,-1,-1,2
4958,-1,0,4,-3,-1,0,3
4959,-3,1,2,0,-3,0,2
4960,-1,1,-1,1,1,-2,0
4961,1,1,-1,0,-1,1,5
4962,-1,-2,3,-3,1,0,3
4963,4,-3,-1,0,0,4,4
4964,0,-2,1,1,0,-1,2
4965,0,0,3,-2,2,-2,3
4966,-3,-1,4,-3,0,3,2
4967,3,-3,0,0,3,-3,5
4968,2,0,0,-2,3,-2,5
4969,-3,1,1,1,-3,0,2
4970,-1,0,3,-3,1,2,3
4971,-3,0,-1,4,-3,0,1
4972,2,-2,1,1,-3,0,4
4973,1,1,-2,0,1,-1,5
4974,-2,0,0,1,2,-3,2
4975,0,0,4,-3,3,-1,3
4976,0,-3,3,-2,0,0,3
4977,-3,-1,4,-3,3,-2,3
4978,0,1,-2,-1,1,2,5
4979,1,0,-1,0,-1,0,4
4980,0,3,-3,3,-3,0,1
4981,1,-1,0,-2,3,-3,5
4982,-1,3,-1,-1,0,1,0
4983,0,2,-2,3,-1,-1,1
4984,4,-1,-1,2,0,-2,4
4985,0,4,-3,3,-3,-1,1
4986,0,2,-1,-2,0,2,0
4987,-3,3,-2,0,0,0,0
4988,-1,4,-3,3,-3,3,1
4989,2,-1,2,-3,3,-1,3
4990,0,-1,1,-2,2,-1,3
4991,-1,-1,0,0,0,-1,2
4992,-2,-1,4,0,-2,-1,2
4993,0,2,-1,0,-1,-1,1
4994,-1,3,-2,0,1,-2,0
4995,-2,2,0,-2,3,-3,0
4996,-1,3,-3,3,-3,3,1
4997,-1,-1,3,-1,-2,3,2
4998,-1,0,-2,3,0,-1,1
4999,-1,0,1,2,-1,0,2
5000,0,-2,3,-1,0,-2,3
5001,-2,3,-3,0,3,-3,0
5002,1,0,0,-1,3,0,5
5003,-2,2,-3,2,-2,1,1
5004,-1,-1,2,1,-3,1,2
5005,-2,0,2,1,-3,2,2
5006,0,3,-3,1,2,-3,0
5007,0,0,0,0,0,0,2
5008,-3,1,2,-2,-1,3,2
5009,1,-1,-1,2,-2,0,4
5010,-3,2,0,-2,1,2,0
5011,0,-2,2,-2,3,0,3
5012,-1,3,-2,-1,2,-2,0
5013,0,0,1,-2,2,-1,3
5014,3,-3,3,-3,-1,4,3
5015,1,2,-1,-2,3,-3,5
5016,4,-3,-1,4,-3,0,4
5017,-1,1,-1,3,-1,-1,1
5018,0,0,0,-2,1,2,5
5019,-3,1,1,0,-1,0,2
5020,-1,-2,3,-1,0,0,2
5021,1,0,0,0,0,-2,5
5022,3,-3,3,-3,3,-3,3
5023,-1,3,-2,1,-2,0,1
5024,0,0,0,0,1,-1,5
5025,-2,2,-3,1,2,-1,0
5026,0,4,-3,3,-3,0,1
5027,2,-3,1,0,2,-2,3
5028,0,-3,1,2,-3,0,4
5029,1,1,-2,1,-2,3,1
5030,1,2,-3,3,-3,3,1
5031,-3,3,-1,1,-3,1,1
5032,3,-3,-1,0,0,0,4
5033,1,0,-2,1,1,-1,5
5034,3,-2,0,1,0,1,4
5035,-2,-1,3,0,-2,0,2
5036,-1,-1,2,-1,-1,2,2
5037,2,-1,-1,2,-1,-1,4
5038,3,0,0,-3,3,-2,5
5039,-1,2,-3,1,2,-2,0
5040,4,-3,-1,0,4,-2,5
5041,1,2,-2,0,-1,0,1
5042,-2,1,1,0,-2,2,2
5043,1,-1,0,2,-3,2,4
5044,-3,2,-2,3,-3,2,1
5045,-1,0,1,0,-2,0,2
5046,-1,1,-1,0,0,0,0
5047,-3,-1,4,-2,2,-3,3
5048,4,-2,0,-1,0,3,4
5049,1,-2,3,-3,2,-1,3
5050,0,3,-2,0,-1,2,1
5051,-1,1,0,-1,0,0,2
5052,0,1,-1,1,0,-1,1
5053,0,3,-3,3,0,-3,1
5054,0,1,0,-1,-1,1,2
5055,0,0,1,-1,1,-1,2
5056,1,0,1,0,0,-2,2
5057,0,0,0,0,0,4,2
5058,0,-2,2,-2,3,-2,3
5059,-1,-1,2,0,-1,-2,2
5060,0,0,1,-1,1,-1,2
5061,1,-3,3,0,-3,2,2
5062,-1,4,-3,-1,0,4,0
5063,-3,-1,0,0,0,0,2
5064,2,-1,1,-1,1,-1,3
5065,3,-3,3,-1,0,-1,3
5066,-3,-1,0,0,4,-3,0
5067,-2,0,3,-1,0,-2,2
5068,2,-2,3,0,-2,1,4
5069,-2,3,-2,2,-3,1,1
5070,-1,-1,0,1,-1,1,2
5071,-1,1,2,0,-1,-1,2
5072,-3,0,3,0,-3,3,2
5073,1,-2,0,1,0,-1,4
5074,4,-3,0,3,-3,-1,4
5075,-2,1,2,0,-2,-1,2
5076,4,0,0,-3,3,-3,5
5078,3,-3,0,-1,4,-3,5
5079,-3,0,3,-1,-2,1,2
5080,0,-1,3,-2,-1,0,3
5081,0,-3,3,-1,-2,3,2
5082,-3,3,-3,-1,0,0,0
5083,0,0,0,0,0,0,2
5084,3,-1,0,-1,-1,2,4
5085,3,0,0,0,-3,2,4
5086,0,-3,3,0,-3,0,2
5087,1,-1,0,2,-3,1,4
5088,-3,-1,4,-3,-1,0,2
5089,2,1,-2,-1,2,0,5
5090,1,0,0,2,-2,-1,4
5091,4,0,-1,0,0,-1,5
5092,0,0,4,-3,3,0,3
5093,0,0,1,-2,3,-3,3
5094,0,0,2,-1,-2,2,2
5095,-1,-1,0,-1,0,3,2
5096,0,3,-3,0,-1,4,1
5098,3,-1,1,0,-3,3,4
5099,3,-3,3,-3,3,0,3
5100,1,1,1,-2,2,-3,5
5101,1,1,0,0,-1,2,2
5102,0,3,0,-3,1,-1,0
5103,3,-3,0,3,0,-2,4
5104,1,-2,-1,2,-1,0,4
5105,3,-3,3,-3,-1,0,3
5106,3,-3,-1,4,-3,3,4
5107,-3,3,-3,-1,4,-3,0
5108,-2,0,3,-1,0,-1,2
5109,-1,0,1,-1,2,-3,2
5110,1,-1,2,-2,0,1,3
5111,-1,1,0,0,-1,1,2
5112,2,-1,1,-1,-1,-1,4
5113,-1,0,-1,1,-1,3,1
5114,1,-2,3,0,-3,3,2
5115,3,-2,2,-3,2,1,3
5116,-2,1,0,2,-3,2,1
5117,0,0,1,1,-2,0,2
5118,0,3,-2,0,2,0,0
5119,-3,3,-3,1,2,-1,0
5120,4,-3,3,0,-3,0,4
5121,2,-1,1,-1,1,-1,3
5122,0,-1,-1,2,-1,2,4
5123,2,-1,-1,3,-2,1,4
5124,0,-2,0,0,3,-3,5
5125,0,-1,2,-1,-1,0,2
5126,-3,3,-1,-1,0,1,0
5127,3,0,-3,0,3,-2,5
5128,0,0,0,2,-2,1,1
5129,-2,0,1,-1,1,-2,2
5130,0,-2,3,-3,2,-1,3
5131,2,-1,1,-2,2,-1,3
5132,-3,2,1,-2,1,-2,0
5133,-1,1,0,-1,0,1,2
5134,-2,0,0,2,-2,0,1
5135,-1,1,-1,1,-2,1,1
5136,0,2,1,-3,2,0,0
5137,0,0,-2,2,-3,2,1
5138,-3,2,0,0,0,-2,0
5139,-3,3,-3,3,-3,3,1
5140,0,0,1,-1,1,0,2
5141,3,-1,0,-1,0,1,5
5142,3,-3,3,-3,3,0,3
5143,-3,0,-1,4,-3,3,1
5144,-3,3,-2,-1,-1,0,0
5145,0,-1,1,-1,-1,2,2
5146,0,-3,-1,0,0,4,4
5147,-1,0,-1,0,2,-1,5
5148,-3,3,0,-2,-1,3,0
5149,-1,0,2,0,-2,0,2
5150,-3,0,3,0,-3,3,2
5151,3,-3,2,-1,-1,0,3
5152,-3,3,-3,2,-1,2,1
5153,2,0,0,1,0,-1,4
5154,2,-1,2,-1,-2,0,2
5155,0,0,0,0,0,0,2
5156,-2,1,1,-2,-1,2,2
5157,-2,1,0,2,-2,0,1
5158,-1,4,-3,-1,0,0,0
5159,-1,4,-3,-1,0,0,0
5160,3,-3,2,0,0,-2,3
5161,0,0,0,4,-3,-1,1
5162,3,-2,1,-2,3,-1,3
5163,0,-1,-1,1,2,-1,5
5164,-2,2,1,-3,1,-1,0
5165,0,0,4,-3,3,-3,3
5166,4,-2,0,-1,2,1,5
5167,0,0,4,-3,0,-1,3
5168,2,1,-3,2,-2,3,1
5169,0,0,0,4,0,0,1
5170,0,0,0,0,1,-1,5
5171,-1,-2,3,-3,3,0,3
5172,1,-3,2,-1,2,-3,3
5173,-2,2,-3,1,1,1,0
5174,0,3,-1,-2,0,0,0
5175,0,1,-1,1,0,0,1
5176,3,-3,3,-3,3,-3,3
5177,0,-3,-1,0,0,0,4
5178,0,1,-1,3,-3,0,1
5179,-1,1,-1,0,0,0,0
5180,2,0,-1,1,-2,2,4
5181,-3,3,-1,0,-2,3,1
5182,-3,-1,4,-3,0,3,2
5183,-1,0,2,-3,3,-2,3
5184,4,-3,-1,4,-3,3,4
5185,-1,-1,2,-2,2,-2,3
5186,-1,-1,1,-1,1,-1,2
5187,0,0,3,-1,-2,3,2
5188,0,2,-2,1,-1,1,1
5189,3,-1,0,1,-3,3,4
5190,-1,1,0,-1,0,0,2
5191,3,0,-2,1,-2,3,4
5192,-1,0,2,-2,0,2,2
5193,-1,1,-1,0,-1,0,1
5194,-3,3,0,-2,2,-1,0
5195,3,0,-3,3,-2,0,4
5196,-3,0,2,1,-1,0,2
5197,1,-1,1,-2,-1,0,2
5198,4,-3,-1,4,-2,-1,4
5200,-1,3,0,0,-3,0,1
5201,-1,1,-1,-1,2,-2,0
5202,1,-1,0,0,0,3,5
5203,0,0,0,0,0,0,2
5204,1,-3,1,2,-2,-1,4
5205,-3,0,0,3,0,-3,1
5206,-2,0,1,0,-1,0,2
5207,1,2,-1,1,-3,0,1
5208,3,0,-3,-1,0,0,5
5209,0,-1,-2,3,0,-2,1
5210,-2,3,-3,1,2,-3,0
5211,-3,-1,0,0,0,0,2
5212,-2,1,-2,1,1,-1,0
5213,4,-1,-2,2,-1,-1,4
5214,-1,-1,-1,3,-1,0,1
5215,-1,1,-2,2,-1,1,1
5216,0,1,0,-1,0,1,2
5217,-1,0,0,3,-3,3,1
5218,1,1,0,1,-1,-1,2
5219,0,1,0,-2,0,3,2
5220,-1,3,-2,2,-3,3,1
5221,1,-2,3,-3,2,0,3
5222,2,-3,3,-2,1,-2,3
5223,-1,4,0,-3,0,-1,0
5224,0,-2,2,0,0,0,2
5225,3,-2,-1,3,-3,3,4
5226,3,-1,0,-1,1,0,5
5227,0,0,0,0,0,0,2
5228,-2,3,-1,1,0,-2,0
5229,-1,3,-1,0,0,0,0
5230,0,-1,-1,0,1,-1,5
5231,-2,2,-1,0,2,0,0
5232,-3,3,-1,-1,-1,-1,0
5233,3,-1,0,0,-1,1,4
5234,0,1,1,-2,0,1,2
5235,2,-2,3,-3,1,-1,3
5236,1,2,-3,0,1,2,5
5237,0,-3,1,-1,2,-2,3
5238,-1,0,0,0,0,0,2
5239,-3,1,-1,3,-3,3,1
5240,4,0,-3,0,3,0,5
5241,3,-3,3,-1,-2,0,3
5242,1,0,0,-2,2,-2,5
5243,1,0,-1,1,-1,2,4
5244,-1,-1,1,-1,-1,3,2
5245,-1,-2,3,-2,0,0,3
5246,0,0,4,-3,3,-3,3
5247,-1,-1,0,0,1,0,2
5248,0,4,-3,-1,4,-3,0
5249,-1,0,1,-2,0,3,2
5250,0,0,0,0,4,-3,5
5251,0,3,0,-3,3,-3,0
5252,3,-3,3,-3,1,2,3
5253,-1,3,-2,2,-3,0,1
5254,2,-2,1,0,-2,3,4
5255,1,0,0,-1,0,1,5
5256,1,1,-2,-1,2,-1,5
5257,0,-1,0,1,-2,3,4
5258,3,-3,-1,0,0,4,4
5259,2,0,0,-2,2,0,5
5260,-3,3,0,0,-1,-2,0
5261,3,-3,1,-1,1,-1,3
5262,0,0,0,0,-2,3,2
5263,2,-2,0,1,0,0,4
5264,0,0,1,-1,1,0,2
5265,-3,-1,4,-2,-1,-1,2
5266,-3,3,-3,1,2,0,0
5267,0,-1,-1,3,-3,2,4
5268,0,4,-2,-1,1,2,0
5269,2,-2,-1,4,-3,3,4
5270,0,0,4,-1,-2,-1,2
5271,1,0,2,-2,0,-1,3
5272,0,0,0,4,-3,-1,1
5273,3,0,-1,-2,1,-1,5
5274,-1,1,-1,2,-2,0,1
5275,-1,2,-1,-1,1,0,0
5276,1,0,-2,2,1,-1,5
5277,3,-3,1,1,-1,0,4
5278,2,-2,1,-2,2,0,3
5279,0,3,0,0,-2,-1,1
5280,0,4,-3,-1,4,-2,0
5281,2,-1,-2,3,-1,-2,4
5282,0,3,-3,-1,4,-3,0
5283,0,0,0,1,0,-1,2
5284,1,2,-2,0,2,-3,5
5285,0,0,0,0,0,0,2
5286,2,-2,1,-2,3,-1,3
5287,0,-1,1,-2,2,0,3
5288,-3,3,-3,-1,4,-3,0
5289,2,0,-3,0,2,-1,5
5290,-3,3,-3,3,-3,0,1
5291,1,2,-2,2,-3,3,1
5292,0,0,4,0,-3,0,2
5293,2,-3,3,-1,1,-2,3
5294,-2,3,-1,0,-1,-1,0
5295,4,-3,-1,0,4,-3,5
5296,0,-1,2,-1,2,-2,3
5297,0,0,0,4,-3,-1,1
5298,0,4,-3,3,-3,-1,1
5299,-2,0,2,0,1,-1,2
5300,1,0,-1,0,0,1,5
5301,0,-1,0,0,0,0,2
5302,-1,4,0,-1,-1,2,0
5303,-1,0,0,0,0,4,2
5304,0,3,-2,2,-3,0,1
5305,1,2,-3,3,0,-3,1
5306,0,0,0,4,-3,-1,1
5307,-1,-1,0,0,1,-1,2
5308,-2,3,-2,1,-1,-1,1
5309,-3,3,-3,1,2,-3,0
5310,-1,1,-2,-1,3,0,0
5311,-2,1,-1,0,1,-1,0
5312,-3,3,-3,3,0,-3,1
5313,-1,-1,1,0,0,0,2
5314,-3,0,2,1,-2,1,2
5315,-1,0,2,-2,0,0,2
5316,-2,2,-2,1,1,0,0
5317,-1,3,-1,-1,0,1,0
5318,3,-2,-1,3,-1,-2,4
5319,1,-1,2,-1,0,0,3
5320,0,2,-2,2,-1,0,1
5321,-2,1,1,0,0,-1,2
5322,2,-3,2,-1,2,0,3
5323,-1,-2,3,-1,-1,2,2
5325,1,0,-1,-1,2,0,5
5326,-1,0,0,1,-1,0,2
5327,1,0,0,-2,2,-1,5
5328,3,-1,1,-2,-1,3,3
5329,-2,3,-3,2,-1,0,1
5330,-3,1,0,1,-2,-1,1
5331,4,-3,-1,4,-1,-2,4
5332,3,0,0,-3,3,-2,5
5333,-3,2,0,-1,0,2,0
5334,0,0,1,1,-2,-1,2
5335,-1,0,0,0,0,2,2
5336,-1,-2,1,1,-1,2,2
5337,2,1,-3,1,-1,2,1
5338,0,2,-3,3,0,-3,1
5339,0,0,4,-3,-1,4,3
5340,0,0,2,0,-2,0,2
5341,-3,0,-1,4,0,-3,1
5342,0,4,-3,3,-3,3,1
5343,1,0,-1,0,-1,3,4
5344,-2,3,-2,2,-1,0,1
5345,0,2,1,-1,-1,1,2
5346,-1,-1,0,1,0,0,2
5347,0,-1,0,1,-1,1,2
5348,3,0,0,-3,-1,4,5
5349,-2,1,2,-2,-1,0,2
5350,2,-2,1,-1,1,1,3
5351,-3,3,-3,-1,4,-3,0
5352,0,-1,2,-1,2,-2,3
5353,-1,-2,2,-1,-1,3,2
5354,-1,-1,0,1,-1,0,2
5355,1,-1,0,2,-2,1,4
5356,0,0,0,0,4,-3,5
5357,1,-3,2,-2,0,0,3
5358,-1,2,-2,0,2,-3,0
5359,1,2,-1,-2,0,3,0
5360,-1,0,0,4,-3,3,1
5361,-3,1,1,-1,0,-1,2
5362,-2,-1,0,0,0,0,2
5363,-1,0,0,0,0,0,2
5364,4,-3,3,-3,3,0,3
5365,0,-1,0,3,-3,3,4
5366,0,-1,1,-2,2,0,3
5367,-2,2,-1,1,0,-2,1
5368,3,0,-3,0,3,-3,5
5369,1,-2,3,-2,0,1,3
5370,4,0,-3,3,-3,3,4
5371,0,0,0,4,-3,3,1
5372,2,0,0,1,-2,0,4
5373,-1,-1,0,1,-1,3,2
5374,0,1,0,1,-3,0,1
5375,-1,0,0,2,-3,1,1
5376,2,1,-2,0,1,0,5
5377,3,-2,2,-3,0,0,3
5378,0,1,-1,-1,0,0,0
5379,0,0,0,4,-3,-1,1
5380,0,4,-3,-1,0,0,0
5381,-3,-1,0,4,-1,1,1
5382,-2,0,-1,0,-1,4,2
5383,0,-1,2,0,-1,1,2
5384,-1,0,0,0,0,0,2
5385,1,-3,3,-3,2,-1,3
5386,3,0,0,-3,0,3,5
5387,0,1,-3,1,0,1,1
5388,-3,-1,4,-2,-1,3,2
5389,1,2,-3,0,3,0,5
5390,-2,3,-1,0,0,-1,0
5391,3,-3,3,-3,3,-3,3
5392,-3,3,-1,-2,3,0,0
5393,1,0,2,0,0,-3,2
5394,2,1,-2,1,-1,0,4
5395,1,1,0,0,-2,3,2
5396,1,-1,-1,3,-1,1,4
5397,-1,0,1,-2,2,0,3
5398,0,0,0,0,4,-3,5
5399,-1,1,-1,1,-1,2,1
5400,0,1,-1,1,-1,1,1
5401,0,-1,0,1,-1,1,2
5402,-1,-1,-1,3,-2,2,1
5403,1,0,-1,-1,2,-1,5
5404,0,4,-3,-1,0,0,0
5405,-2,3,-1,-2,1,1,0
5406,-1,0,1,0,1,-3,2
5407,0,1,0,0,-2,2,2
5408,0,-2,1,-1,3,-1,3
5409,-2,2,0,1,-2,2,1
5410,0,-2,1,1,0,-1,2
5411,3,-1,-2,2,-1,2,4
5412,-3,0,3,0,-3,1,2
5413,-1,1,0,-2,0,1,0
5414,2,1,-1,-2,2,0,5
5415,0,4,-3,-1,0,4,0
5416,1,1,0,-2,1,1,5
5417,2,-2,0,0,0,1,4
5418,2,0,0,0,0,0,5
5419,0,-3,0,3,-3,3,4
5420,-3,0,3,-3,2,-2,3
5421,3,-3,3,-3,2,-2,3
5422,1,1,-2,2,0,-1,1
5423,0,-1,1,-1,1,-2,2
5424,-2,-1,2,-2,3,-1,3
5425,0,3,-1,1,-2,0,1
5426,0,4,-3,3,-3,0,1
5427,-1,0,-2,3,-2,2,1
5428,1,-2,3,-2,1,-1,3
5429,-1,0,-1,2,-1,2,1
5430,-2,1,-2,0,3,-3,0
5431,1,-1,1,-1,1,-1,3
5432,4,-3,2,1,-3,1,4
5433,4,-3,3,-3,3,-3,3
5434,3,-1,-1,1,0,1,4
5435,3,-3,-1,4,0,0,4
5436,-2,2,-2,3,-3,0,1
5437,-3,3,-1,-2,3,-2,0
5438,1,-1,1,1,-2,-1,4
5439,3,0,0,-1,-1,0,4
5440,-2,3,0,-2,1,-1,0
5441,-1,1,-2,3,-1,-1,1
5442,-1,1,-3,0,3,-3,0
5443,-1,1,-1,-1,2,0,0
5444,-1,2,-3,2,0,-1,1
5445,-1,-1,2,-3,3,-2,3
5446,0,3,-1,1,-3,2,1
5447,-1,0,1,-2,2,0,3
5448,-2,2,-2,0,-1,0,1
5449,-1,-2,1,1,1,-3,2
5450,0,-1,4,-3,3,-3,3
5451,-1,0,0,1,-1,1,2
5452,-1,-1,2,0,-1,1,2
5453,-2,0,2,-2,0,2,2
5454,3,-3,3,-3,2,0,3
5455,-2,2,0,-1,-1,1,0
5456,0,2,-2,-1,0,3,0
5457,4,-3,-1,0,0,0,4
5458,0,0,1,1,-2,0,2
5459,0,3,-2,0,-1,3,1
5460,-2,3,-2,-1,1,2,0
5461,2,-2,2,1,0,-1,4
5462,-1,0,4,-3,-1,0,3
5463,0,-1,1,0,-1,1,2
5464,3,-2,1,0,-1,1,4
5465,-2,0,0,3,-3,1,1
5466,-3,3,0,-3,0,3,0
5467,-2,2,-1,1,-1,1,1
5468,-3,3,-3,-1,4,-3,0
5469,2,-1,2,-3,0,3,3
5470,-3,-1,0,0,4,-3,0
5471,-1,0,1,0,-2,2,2
5472,3,-1,-1,-1,2,1,5
5473,3,-1,1,-3,3,-3,3
5474,-2,2,-1,0,-1,2,0
5475,-3,-1,4,-3,-1,0,2
5476,-1,0,0,4,-3,-1,1
5477,-1,1,1,-3,1,2,0
5478,-1,2,-2,0,2,0,0
5479,-1,-2,0,1,-1,2,2
5480,-2,2,0,0,-2,1,1
5481,-1,0,0,0,0,0,2
5482,3,0,-3,3,-3,3,4
5483,-1,-2,3,-3,1,-1,3
5484,4,-3,-1,0,0,0,4
5485,1,0,-1,0,1,1,5
5486,0,-2,2,-1,-2,0,2
5487,0,-1,0,2,-1,-2,4
5488,-2,3,-3,2,-1,2,1
5489,3,-3,-1,0,0,0,4
5490,4,-3,-1,4,0,0,4
5491,4,-3,-1,0,0,0,4
5492,0,1,-2,3,-3,2,1
5493,1,-2,0,1,0,-2,4
5494,1,1,0,-1,-1,3,2
5495,1,-1,-1,0,4,-3,5
5496,0,-1,-1,2,-3,0,4
5497,1,-3,3,-2,0,1,3
5498,-3,2,1,-3,2,1,0
5499,0,0,0,0,0,4,2
5500,1,0,2,-3,3,-2,3
5501,-2,-1,-1,4,-3,-1,1
5502,1,0,-2,3,-1,0,1
5503,-3,0,0,3,0,-3,1
5504,-3,3,0,-1,0,-2,0
5505,-3,-1,4,0,-3,3,2
5506,3,0,-3,3,-3,3,4
5507,0,-1,-1,0,-1,3,2
5508,0,0,0,1,-1,1,2
5509,0,4,0,0,-3,-1,1
5510,0,3,-3,3,0,0,1
5511,0,0,0,4,-3,-1,1
5512,3,-1,0,-2,3,-1,5
5513,1,0,-2,3,-1,-2,1
5514,1,-3,1,1,1,-3,4
5515,2,1,-1,0,-1,0,5
5516,0,3,-3,3,0,0,1
5517,-1,-2,0,3,0,-2,4
5518,3,-3,3,-3,2,-1,3
5519,-1,0,1,0,0,0,2
5520,4,-3,-1,0,0,4,4
5521,0,4,-3,0,0,0,0
5522,0,-2,2,0,1,-3,3
5523,-2,1,1,0,0,-2,2
5524,2,0,0,0,-1,1,4
5525,1,0,2,-2,1,1,3
5526,-1,-1,-1,-1,0,0,2
5527,-1,0,0,0,0,0,2
5528,-1,1,0,-2,2,1,0
5529,-3,3,-3,3,-2,2,1
5530,3,0,-1,0,-2,0,4
5531,2,1,-1,-2,3,0,5
5532,2,-3,3,-3,3,-3,3
5533,-2,1,0,-1,1,-1,0
5534,0,0,0,-1,-1,2,2
5535,1,-3,1,2,-3,3,4
5536,-1,1,1,1,-2,0,2
5537,-3,2,1,0,-3,1,2
5538,-1,0,2,-2,-1,3,2
5539,4,0,-3,3,-3,-1,4
5540,3,0,-1,-2,3,-1,5
5541,0,0,0,4,-3,-1,1
5542,0,4,-3,-1,0,4,0
5543,3,-2,0,2,-3,3,4
5544,0,1,0,-2,3,-3,5
5545,3,-2,1,-1,2,-2,3
5546,4,-3,-1,0,4,-3,5
5547,-2,-1,1,0,1,1,2
5548,3,-3,2,-1,0,1,3
5549,0,3,0,-3,-1,4,0
5550,1,0,-1,-1,2,1,5
5551,-3,0,0,3,-2,-1,1
5552,0,0,-2,1,-2,1,1
5553,1,-1,0,1,-1,0,4
5554,-3,0,3,-3,2,1,3
5555,-2,1,2,-3,3,-2,0
5556,0,-2,3,-3,0,0,3
5557,0,0,0,0,-2,1,2
5558,-1,3,-2,0,0,2,0
5559,1,-2,2,0,-1,0,2
5560,-2,2,0,1,-1,1,1
5561,-2,-1,1,2,-1,-1,2
5562,0,1,-2,0,1,-1,5
5563,0,-1,1,1,-3,2,2
5564,-2,0,0,-1,4,-3,0
5565,2,1,-2,2,-3,3,1
5566,1,1,-3,0,2,0,5
5567,-1,0,1,-1,1,0,2
5568,0,-1,1,0,0,-1,2
5569,1,-2,2,-2,2,0,3
5570,3,-1,-1,2,-3,0,4
5571,3,0,0,-1,-2,3,4
5572,0,-1,2,0,0,-2,2
5573,-1,4,-3,-1,0,0,0
5574,-3,1,-1,3,-1,1,1
5575,-2,2,-1,0,2,-1,0
5576,1,-3,1,-1,3,-3,3
5577,-1,1,0,0,0,-1,2
5579,1,-1,0,2,-2,2,4
5580,-1,-1,2,0,-2,2,2
5581,-2,1,2,-2,-1,3,2
5582,-1,3,-1,-2,1,0,0
5583,2,0,0,1,-3,2,4
5584,3,-3,3,-3,3,-3,3
5585,-1,2,0,-2,3,-3,0
5586,1,-2,0,0,2,-1,5
5587,1,-3,2,0,0,-1,3
5588,0,-1,3,-2,1,-1,3
5589,-3,-1,4,-3,-1,0,2
5590,0,0,0,4,0,-3,1
5591,0,0,2,-3,0,2,3
5592,-1,0,-2,0,2,-1,5
5593,0,0,0,0,0,4,2
5594,-1,4,-3,-1,4,0,0
5595,-1,1,-2,3,-2,0,1
5596,2,-1,-2,3,-1,-1,4
5597,0,-3,-1,4,-3,3,4
5598,-1,0,0,0,-2,1,2
5599,0,2,-3,3,-2,2,1
5600,0,-1,3,-1,-2,2,2
5601,-2,0,3,-3,3,-3,3
5602,3,-3,2,1,-1,-2,4
5603,1,0,-1,1,-1,1,4
5604,0,0,0,-1,0,3,2
5605,0,2,-2,0,1,0,0
5606,3,0,-3,3,-1,-2,4
5607,0,0,0,0,0,0,2
5608,-3,3,-2,2,-3,2,1
5609,0,0,4,-3,3,-3,3
5611,0,-2,-1,3,-3,2,4
5612,0,4,0,0,-3,0,1
5613,2,0,-1,1,-1,2,4
5614,-1,0,1,0,0,0,2
5615,0,3,-3,0,3,0,0
5616,4,-3,0,3,-3,-1,4
5617,3,-3,0,0,0,3,4
5618,0,2,0,1,-3,1,1
5619,-1,1,2,0,-3,1,2
5620,2,1,-2,0,-1,3,5
5621,-3,3,-3,2,-1,2,1
5622,-2,3,-2,-1,3,-1,0
5623,0,0,3,-3,-1,0,3
5624,-3,3,-3,-1,4,-3,0
5625,0,1,1,0,-2,-1,2
5626,2,-3,3,-1,-2,2,3
5627,0,0,-1,2,-1,0,1
5628,-1,2,-1,-2,0,3,0
5629,-2,-1,0,0,3,-3,5
5630,4,-2,2,-3,1,-1,3
5631,0,0,0,-1,0,0,2
5632,-2,3,-3,3,0,-3,1
5633,2,-1,-1,1,-1,0,4
5634,-3,3,-3,1,2,0,0
5635,-1,3,-2,1,0,-1,1
5636,3,-1,1,-3,0,3,3
5637,-1,-2,3,-3,3,-1,3
5638,-1,-1,0,1,-2,3,2
5639,0,-3,0,0,3,0,5
5640,1,-1,0,2,-3,2,4
5641,2,-1,1,-2,2,1,3
