CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_중가_clust_id
4501,1,-2,0,1,-1,-1,1
4502,-1,4,-1,-2,3,-3,0
4503,4,-3,-1,0,0,4,5
4504,3,-1,-2,3,-1,-2,1
4505,-3,-1,4,0,-1,-2,2
4506,0,0,0,0,0,0,3
4507,0,0,4,-3,-1,4,2
4508,4,0,-1,-2,3,-1,5
4509,0,0,0,0,0,4,3
4510,0,0,0,0,0,0,3
4511,-3,0,3,-2,0,1,2
4512,-1,0,-2,3,-2,-1,4
4513,-3,2,-1,1,-1,-1,4
4514,3,-1,-2,3,-3,3,1
4515,1,-2,3,-1,1,-3,2
4516,2,-1,1,-3,3,-1,5
4517,2,-2,0,1,-1,2,1
4518,0,-2,1,-1,3,-2,3
4519,-2,0,-1,3,-2,-1,4
4520,-1,1,-1,1,1,-1,3
4521,3,-3,3,-3,3,-2,5
4522,1,-3,3,-3,3,-1,2
4523,1,-2,3,-3,3,-3,2
4524,-3,-1,0,0,0,0,3
4525,1,0,-2,3,-3,3,1
4526,-2,3,-3,3,-3,-1,4
4527,-1,3,-2,0,1,-1,0
4528,0,0,0,4,-3,3,1
4529,0,0,0,0,0,0,3
4530,-1,4,-2,1,-2,3,4
4531,3,0,-3,3,-3,3,1
4532,0,-1,1,-1,-1,3,3
4533,-3,1,2,-2,-1,3,2
4535,0,-3,3,-2,2,-3,2
4536,-2,3,-1,0,-1,0,0
4537,0,0,-1,1,0,-2,3
4538,-1,-1,2,-3,1,2,2
4539,-1,1,-1,1,-1,0,4
4540,-2,-1,0,0,0,0,3
4541,3,-3,-1,0,4,-2,5
4542,-1,3,-2,-1,2,0,0
4543,-3,3,-3,3,-3,-1,4
4544,2,-1,1,-1,1,-2,5
4545,1,-3,0,3,-3,3,1
4546,0,-1,0,0,0,0,3
4547,-2,3,-2,2,-3,3,4
4548,2,-3,1,1,1,-2,5
4549,0,0,-1,-1,3,-2,3
4550,2,0,-2,2,-2,3,1
4551,-1,-2,3,-1,1,-3,2
4552,-1,-1,0,1,0,-2,3
4553,-3,-1,0,0,0,0,3
4554,0,0,0,0,0,0,3
4555,2,-3,3,-3,3,-3,5
4556,-3,1,0,-1,-1,4,3
4557,0,0,4,-3,-1,0,2
4558,3,-1,1,-3,0,3,5
4559,0,0,4,-3,3,-3,2
4560,-3,3,-3,3,-3,3,4
4561,3,-1,-2,3,0,-3,1
4562,0,-2,0,1,-1,2,1
4563,0,0,0,-1,0,0,3
4564,-2,-1,3,0,-2,-1,2
4565,-1,0,-1,0,0,0,3
4566,1,1,-3,0,3,-3,0
4567,2,0,-3,3,0,-2,1
4568,-3,3,-3,3,-3,-1,4
4569,4,-3,-1,4,-3,-1,1
4570,0,0,4,-2,2,-2,2
4571,-1,-1,0,3,-2,0,1
4572,-3,2,0,-1,0,2,0
4573,-2,3,-2,2,-2,-1,4
4574,3,-1,0,-2,1,0,5
4575,1,-1,0,3,-2,-1,1
4576,1,-1,0,2,-3,2,1
4577,-1,0,0,0,4,0,3
4578,0,0,0,0,0,0,3
4579,3,-2,0,2,-2,-1,1
4580,-3,2,1,-1,-2,3,0
4581,-3,3,-3,3,-3,-1,4
4582,-1,0,-2,2,-2,3,4
4583,-1,0,-2,3,0,-2,4
4584,0,-1,1,0,0,-1,3
4585,0,0,0,4,-3,-1,1
4586,-2,0,2,-1,0,-2,2
4587,1,-2,0,-1,3,-2,5
4588,1,-3,2,-1,1,-1,5
4589,0,1,-2,3,-1,-2,4
4590,-2,1,1,-3,1,-1,2
4591,-3,3,-1,-2,3,-2,0
4592,-2,3,-2,-1,3,-2,0
4593,3,-3,3,-3,1,1,5
4594,0,-1,3,-3,0,3,2
4595,0,-3,-1,0,0,0,3
4596,-2,1,-2,3,-3,2,4
4597,-1,2,1,-3,0,3,0
4598,0,-3,-1,0,4,-3,3
4599,3,-3,3,-3,3,-3,5
4600,0,0,0,0,0,0,3
4601,1,-2,1,-2,0,2,5
4602,0,4,-3,-1,0,0,0
4603,0,4,-3,3,-3,3,4
4604,-3,-1,0,4,-3,-1,1
4605,3,-3,3,-1,-1,-1,5
4606,-3,2,0,-1,1,1,0
4607,-1,3,-3,2,1,-3,4
4608,1,-2,3,-3,1,0,2
4609,-2,-1,3,-2,0,0,2
4610,0,-2,2,1,-2,-1,1
4611,1,0,-2,3,-2,1,1
4612,3,-2,0,0,2,-2,5
4613,-2,1,-1,0,2,-2,3
4614,-3,3,-3,3,-1,-1,4
4615,-1,4,0,-1,-1,2,0
4616,3,-3,3,-2,-1,3,5
4617,3,-1,-2,3,-2,1,1
4618,-1,1,2,-3,0,3,2
4619,-3,-1,0,4,-3,-1,1
4620,2,0,-3,0,3,-2,3
4621,0,4,-3,2,-2,3,4
4622,1,-2,3,0,-3,2,2
4623,0,4,-1,-2,3,-3,0
4624,0,1,-1,1,1,-3,3
4625,0,0,0,0,0,0,3
4626,2,-2,0,3,-3,0,1
4627,-3,3,-2,1,-1,-1,4
4628,0,0,0,0,0,0,3
4629,-3,-1,4,0,-3,-1,2
4630,1,0,0,-1,1,0,3
4631,3,-1,1,-3,-1,4,5
4632,0,-3,3,-3,3,-3,2
4633,-3,2,0,0,0,-1,0
4634,-2,-1,0,0,0,0,3
4635,-1,0,0,0,0,0,3
4636,2,-2,1,0,-1,0,5
4637,0,2,0,-1,0,-2,0
4638,0,1,-1,2,-3,2,4
4639,-1,0,0,0,4,-3,3
4640,-2,1,-1,1,-2,3,4
4641,-3,0,3,-3,3,-3,2
4642,-3,-1,0,4,-3,-1,1
4643,4,0,-3,-1,4,-3,5
4644,2,-2,-1,4,-3,3,1
4645,0,2,-1,-2,3,-2,0
4646,-3,2,0,-2,-1,4,0
4647,0,0,0,0,0,4,3
4648,-3,3,-3,2,0,-2,4
4649,2,-2,0,2,-3,1,1
4650,1,0,0,-1,-1,3,3
4651,0,-1,2,-3,1,0,2
4652,-3,0,3,-1,0,-1,2
4653,-1,-1,2,-1,-2,3,2
4654,-2,2,0,0,-1,0,0
4655,3,-3,1,2,-1,0,1
4656,3,-3,3,-3,2,1,5
4657,-1,-2,3,-3,0,-1,2
4658,2,-1,1,-1,-1,1,5
4659,-1,4,0,-3,3,-2,0
4660,-3,3,0,-2,0,0,0
4661,-3,3,-3,1,1,0,0
4662,1,0,0,2,-2,0,1
4663,1,-1,1,-1,2,-3,3
4664,1,-1,0,0,1,0,3
4665,-1,1,-1,0,2,0,3
4666,1,-2,2,-2,2,-2,5
4667,-2,2,-1,1,0,-1,4
4668,0,2,-1,-1,-1,3,0
4669,-3,2,0,0,-1,1,0
4670,0,4,-3,-1,0,4,0
4671,3,-3,-1,0,0,0,5
4672,0,0,1,-2,0,0,2
4673,2,-2,-1,0,0,0,5
4674,-2,3,-2,2,-3,3,4
4675,-1,0,0,-2,2,-1,3
4676,-1,-2,-1,4,-1,1,1
4677,-1,2,1,-1,-2,3,3
4678,-3,3,0,-2,1,1,0
4679,1,-2,1,-1,1,-1,5
4680,1,-2,3,-3,0,3,2
4681,3,-2,1,-1,2,-1,5
4682,-3,0,-1,4,-2,-1,4
4683,-1,4,-3,-1,0,4,0
4684,0,-1,0,1,-1,-1,3
4685,0,-3,3,-3,2,0,2
4686,-1,0,2,-1,-1,-1,2
4687,0,2,-2,-1,2,-2,0
4688,3,-3,0,3,-3,3,1
4689,-1,0,0,-1,3,-2,3
4690,-1,2,-1,0,-2,0,4
4691,3,-3,-1,0,0,0,5
4692,0,-2,-1,-1,0,0,3
4693,-1,1,0,-2,3,-2,0
4694,-1,2,-2,3,-2,2,4
4695,-2,2,-2,2,-3,1,4
4696,0,0,0,0,4,-3,3
4697,0,1,-3,0,3,-2,0
4698,1,-1,-1,1,0,-1,3
4699,0,-3,2,1,-2,0,1
4700,-1,0,0,0,0,0,3
4701,-1,3,0,-3,1,0,0
4702,3,0,-3,0,-1,4,1
4703,0,-2,3,-3,2,-1,2
4704,2,-1,0,1,-1,-1,1
4705,2,0,0,0,-1,2,3
4706,-3,-1,0,0,4,-3,3
4707,0,0,4,-3,-1,0,2
4708,3,-2,-1,3,-3,3,1
4709,1,-3,3,-3,2,-1,2
4710,-2,2,0,-1,2,-2,0
4711,1,-1,-1,3,-2,1,1
4712,-2,2,-1,1,-2,0,4
4713,1,-2,-1,0,0,0,3
4714,3,-2,1,-1,2,-2,5
4715,0,3,0,-3,2,-1,0
4716,-1,4,-3,2,1,-3,4
4717,0,1,-3,0,-1,0,4
4718,-3,2,0,-2,3,-2,0
4719,3,-3,1,2,-2,2,1
4720,0,-3,3,-3,1,1,2
4721,-3,-1,0,0,0,0,3
4722,3,-2,-1,3,-2,0,1
4723,-3,-1,0,4,-2,2,1
4724,-2,0,3,-3,-1,0,2
4725,2,-3,2,1,-2,-1,5
4726,2,-2,1,-2,3,-3,5
4727,0,0,-1,4,0,-3,1
4728,-1,0,0,0,4,-3,3
4729,2,-1,1,0,-2,0,5
4730,3,-2,1,0,0,-2,5
4731,0,-3,0,-1,0,0,3
4732,0,2,-3,3,-1,1,4
4733,3,-3,3,-3,2,1,5
4734,1,-1,0,0,-1,2,3
4735,-1,-2,0,3,-2,1,1
4736,0,-3,0,3,0,-3,1
4737,-1,3,-3,3,-3,3,4
4738,0,-1,0,-1,2,-1,3
4739,2,-3,0,3,0,-3,1
4740,1,-2,1,0,-1,-1,5
4741,-2,0,0,0,0,-1,3
4742,0,0,-3,2,-2,1,4
4743,2,-3,3,-3,3,-3,5
4744,0,0,0,0,0,0,3
4745,3,-3,1,0,0,1,5
4746,0,1,-1,0,2,-2,3
4747,3,-2,-1,3,0,-1,1
4748,-3,3,-2,-1,2,-2,0
4749,0,-3,3,-3,3,-3,2
4750,-1,0,3,-3,3,0,2
4751,0,0,2,-1,-1,0,2
4752,3,-3,3,-3,0,3,5
4753,-3,3,-3,-1,0,4,0
4754,0,-1,0,1,-1,1,3
4755,-2,1,-2,0,1,2,0
4756,-2,0,2,-2,-1,2,2
4757,-2,3,0,-1,-1,0,0
4758,-1,0,0,0,0,0,3
4759,-3,3,-3,2,1,-3,4
4760,-3,2,-2,-1,4,-3,0
4761,-1,1,2,-3,0,3,2
4762,1,-1,3,-1,0,-2,2
4763,3,-3,3,-2,-1,3,5
4764,-3,0,3,-1,0,-1,2
4765,-1,3,-3,3,-2,2,4
4766,-3,-1,4,-3,-1,0,2
4767,0,0,0,1,-2,3,1
4768,-3,3,-3,2,-2,2,4
4769,3,-1,0,-1,1,-1,5
4770,0,2,1,-3,-1,0,2
4771,-3,0,3,0,-3,-1,2
4772,0,0,0,0,0,0,3
4773,-3,0,3,-1,0,0,2
4774,-3,1,1,-1,2,-1,3
4775,2,-2,-1,3,-3,3,1
4776,2,-3,3,-1,-2,3,5
4777,-1,-1,3,-3,2,-1,2
4778,-2,0,0,1,-1,-1,3
4779,-2,2,0,-1,1,-1,0
4780,0,0,4,-3,-1,0,2
4781,1,1,0,-1,1,-1,3
4782,1,-2,3,-1,-1,-1,2
4783,0,4,-2,-1,-1,0,0
4784,1,0,0,-1,1,0,3
4785,1,-1,-1,0,0,4,3
4786,1,-2,-1,3,-1,-2,1
4787,0,0,0,0,0,0,3
4788,0,-1,1,0,-1,0,3
4789,-3,3,-3,0,0,-1,0
4790,-1,-1,0,0,0,0,3
4791,1,-2,1,0,2,-1,5
4792,-2,1,2,-1,0,-1,2
4793,4,-3,3,-3,0,-1,5
4794,0,0,0,0,0,0,3
4795,2,-3,3,-3,3,-3,5
4796,3,-3,3,-3,-1,4,5
4797,0,1,-1,1,0,1,3
4798,0,0,1,-2,1,-2,3
4799,-2,3,-3,2,0,0,4
4800,1,-2,0,1,-2,2,1
4801,0,-2,-1,3,-1,-2,1
4802,-1,-2,3,-2,2,-3,2
4803,3,-3,-1,4,-1,-2,1
4804,0,0,0,0,0,0,3
4805,0,0,-1,-1,1,1,3
4806,-1,-2,-1,4,-1,-2,1
4807,0,0,0,0,0,0,3
4808,1,0,-2,3,-2,-1,1
4809,-1,-2,2,-1,2,-3,2
4810,0,3,-1,-2,2,1,0
4811,-2,3,-3,2,1,-2,4
4812,1,-2,2,-2,3,-2,5
4813,3,-3,2,0,1,-3,5
4814,1,1,-1,2,-2,1,1
4815,-3,1,2,-3,0,3,2
4816,-3,3,-2,1,0,0,4
4817,-3,-1,0,0,4,-3,3
4818,0,-1,1,-2,0,1,2
4819,0,0,0,0,0,0,3
4820,0,-1,0,2,-3,3,1
4821,-3,1,2,-3,3,-2,2
4823,-2,1,1,-3,2,1,2
4824,0,2,-3,0,0,3,0
4826,0,-1,0,0,0,2,3
4827,-1,1,0,0,0,0,3
4828,-2,-1,4,-3,-1,0,2
4829,2,-1,-1,3,-1,-2,1
4830,1,-1,1,0,-2,2,1
4831,-2,-1,3,0,-3,2,2
4832,0,-2,0,2,0,-2,1
4833,2,1,-2,1,-2,2,1
4835,-1,1,-2,1,2,-2,3
4836,-1,3,-3,0,0,-1,0
4837,3,-3,3,-2,0,0,5
4838,-3,3,-2,2,-2,1,4
4839,-2,1,-1,0,2,1,3
4840,-1,4,-3,3,-3,-1,4
4841,3,-2,2,-1,-2,2,5
4842,0,-3,-1,0,0,0,3
4843,0,1,-2,3,-2,-1,4
4844,3,-3,-1,0,4,-3,5
4845,0,0,0,0,0,0,3
4846,-3,3,-3,-1,0,0,0
4847,-2,2,-1,0,1,-1,0
4848,-2,0,3,-3,2,-2,2
4849,2,-3,3,-3,0,3,5
4850,-1,0,-2,2,-2,3,4
4851,3,-3,2,0,1,-3,5
4852,1,-3,0,3,-1,1,1
4853,3,-2,-1,2,0,-1,1
4854,-3,1,-1,3,0,-3,4
4855,0,3,-1,-2,3,-2,0
4856,4,-3,-1,0,0,4,5
4857,1,-3,3,-3,-1,4,2
4858,-1,-2,1,0,-1,3,3
4859,0,2,-2,3,-3,3,4
4860,2,-2,1,-1,1,-2,5
4861,0,-1,1,-1,-1,3,3
4862,2,-3,3,-2,1,-2,5
4863,-1,3,-3,3,-3,3,4
4864,0,1,-3,3,-1,0,4
4865,-2,0,2,-1,-1,1,2
4866,-2,0,0,0,1,-2,3
4867,0,0,0,1,-2,3,1
4868,-2,2,-3,3,-3,3,4
4869,0,0,4,-3,-1,0,2
4870,-3,3,-3,1,2,0,0
4871,-3,3,-3,-1,0,4,0
4872,3,-3,-1,0,0,4,5
4873,2,-3,2,-1,2,-3,5
4874,1,2,-3,3,0,-1,4
4875,0,-3,1,2,-2,-1,1
4876,3,-1,-2,3,-2,2,1
4877,0,-1,1,-1,3,0,3
4878,-2,-1,3,-3,3,-3,2
4879,3,-2,-1,3,-3,-1,1
4880,-3,2,1,-2,1,0,0
4881,-1,2,-1,-1,3,-1,0
4882,0,3,-3,3,-3,1,4
4883,1,-2,0,0,3,-1,3
4884,3,0,-3,3,0,-2,1
4885,-3,-1,0,0,0,4,3
4886,-1,0,0,0,0,0,3
4887,1,0,0,-2,2,-1,3
4888,-1,1,-1,0,1,-1,3
4889,0,2,-1,0,-1,3,0
4890,1,0,0,-1,1,-1,3
4891,-2,1,-2,3,-1,1,4
4892,-3,-1,4,-3,3,0,2
4893,0,0,0,0,0,0,3
4894,3,-2,0,-1,0,3,5
4895,0,-3,3,-3,1,2,2
4896,3,-2,0,1,-2,1,1
4897,0,3,0,-3,3,-3,0
4898,-3,3,-2,1,-2,3,4
4899,0,0,0,0,0,0,3
4900,-1,3,-1,0,-2,1,4
4901,0,0,0,0,0,4,3
4902,3,-3,1,1,0,-2,5
4903,-2,3,-3,2,-2,0,4
4904,-2,3,-2,0,2,-2,0
4905,-2,0,2,-2,1,-1,2
4906,-1,-2,3,-3,3,-3,2
4907,3,-2,0,2,-2,0,1
4908,0,0,-3,1,1,0,3
4909,-1,1,-2,1,1,1,3
4910,3,0,-3,3,-1,-2,1
4911,-1,0,4,-3,0,3,2
4912,-2,-1,3,-3,3,-1,2
4913,-2,0,1,-1,1,-1,3
4914,3,-2,2,-2,0,1,5
4915,3,-1,-2,2,-2,3,1
4916,4,-3,-1,0,0,0,5
4917,1,0,-1,-1,4,-2,3
4918,-3,3,0,-3,0,-1,0
4919,1,-2,-1,0,0,0,3
4920,3,-3,-1,4,-1,-2,1
4921,0,0,4,-2,-1,0,2
4922,2,-1,1,-1,1,-1,5
4923,-1,4,-3,-1,0,4,0
4924,-1,1,-1,1,-1,3,4
4925,0,-2,3,-2,0,0,2
4927,1,-2,1,0,2,-3,5
4928,0,0,0,4,0,-2,1
4929,-3,3,-3,0,1,2,0
4930,-3,1,2,-3,2,-1,2
4931,0,0,0,0,0,0,3
4932,3,-3,-1,0,0,4,5
4933,0,1,-2,2,1,-2,3
4934,3,-3,3,-1,-2,3,5
4935,-2,1,-1,1,-2,3,4
4936,-3,3,-3,0,2,-2,0
4937,-3,-1,0,0,0,0,3
4938,-2,-1,3,-3,3,-3,2
4939,3,0,-3,3,-3,3,1
4940,3,-3,0,3,0,-3,1
4941,0,-1,2,0,1,-3,3
4942,0,0,0,0,0,0,3
4943,0,1,-1,1,-1,1,3
4944,0,-1,1,-2,3,-2,3
4945,4,-3,3,-3,0,-1,5
4946,3,0,-1,-1,0,0,5
4947,1,2,-1,-1,1,-2,0
4948,4,-3,-1,4,-1,-2,1
4949,-3,2,-2,3,0,-3,4
4950,3,0,-1,-2,3,-3,5
4951,4,-3,-1,0,0,0,5
4952,-1,-1,0,-1,4,-2,3
4953,-3,2,0,1,-1,-1,4
4954,2,-2,0,0,2,-1,5
4955,0,-1,2,1,-1,-2,3
4956,0,3,-3,3,-3,3,4
4957,3,0,-2,-1,1,0,5
4958,-1,1,2,-3,2,0,2
4959,-1,0,0,2,-1,-2,3
4960,0,0,0,0,0,0,3
4961,-3,3,-3,3,-2,-1,4
4962,-2,-1,3,-3,-1,0,2
4963,-1,0,1,-1,2,-2,3
4964,0,0,0,0,0,0,3
4965,0,-2,1,2,-1,-2,1
4966,-2,-1,3,-1,0,-2,2
4967,-1,0,1,-3,3,-1,2
4968,1,1,-2,3,-3,3,1
4969,-1,-2,-1,4,-3,0,1
4970,0,1,0,0,-1,1,3
4971,-1,0,1,1,-1,0,3
4972,-3,1,0,-1,3,-3,0
4973,-1,0,4,-3,3,-2,2
4974,1,-1,0,1,1,-1,3
4975,-1,1,-2,3,-2,-1,4
4976,-1,0,0,0,0,0,3
4977,-2,2,0,-1,-1,1,0
4978,-1,-2,3,-3,3,-3,2
4979,-3,2,1,-2,-1,3,0
4980,0,1,0,-2,0,3,3
4981,-1,1,0,0,-1,-1,3
4982,-3,3,-3,3,0,-3,4
4983,3,-3,-1,0,4,-3,5
4984,-1,-1,1,-2,2,-2,2
4985,-1,-1,3,-3,1,1,2
4986,0,3,-3,0,-1,0,0
4987,-2,-1,3,-3,2,-2,2
4988,3,-2,1,0,-1,0,5
4989,-1,0,-1,1,-2,1,4
4990,3,-3,3,-2,0,0,5
4991,0,0,0,0,4,-3,3
4992,-1,1,-2,3,-1,-1,4
4993,0,-1,4,-1,-2,-1,2
4994,3,0,-1,-1,-1,1,5
4995,-2,0,-1,2,0,1,3
4996,-3,-1,0,0,0,4,3
4997,2,-3,1,1,-2,3,1
4998,-1,-1,3,-1,-1,1,2
4999,0,0,0,0,0,4,3
5000,3,-3,-1,0,0,0,5
5001,4,-3,-1,0,4,-3,5
5002,0,0,0,4,-3,-1,1
5003,0,-1,0,-1,3,-1,3
5004,-3,1,-1,3,-2,-1,4
5005,-1,0,2,-2,0,0,2
5006,-1,0,2,-3,0,3,2
5007,-1,3,0,-2,0,2,0
5008,3,0,-1,-2,2,-2,5
5009,-3,0,-1,0,0,0,3
5010,1,-1,-1,3,-3,0,1
5011,1,1,-3,3,-1,0,4
5012,-2,2,0,-1,1,1,0
5013,0,3,0,0,-3,3,4
5014,0,1,1,-2,1,-1,3
5015,3,0,-1,-1,-1,1,5
5016,1,-2,0,1,0,0,3
5017,3,-3,-1,0,0,0,5
5018,-3,3,-3,3,-3,3,4
5019,-3,3,-3,3,-3,3,4
5020,-3,1,-1,3,-3,2,4
5021,-3,3,-3,3,0,-2,4
5022,-1,2,-3,3,-1,-1,4
5023,-2,3,-3,-1,0,0,0
5024,0,0,4,-3,-1,0,2
5025,-3,1,1,0,0,-2,3
5026,-2,1,-1,3,0,-2,4
5027,-2,0,2,1,-3,2,1
5028,3,-3,3,-3,1,1,5
5029,-3,3,-3,3,-3,3,4
5030,1,0,-1,0,1,0,3
5031,2,-3,0,3,-1,1,1
5032,2,1,-2,-1,0,3,3
5033,0,0,-1,1,0,-2,3
5034,0,0,0,4,0,-3,1
5035,0,0,2,-3,3,-3,2
5036,-1,2,-3,2,1,-2,4
5037,-1,0,4,-3,-1,0,2
5038,-1,2,-1,1,1,-2,0
5039,-3,0,3,-2,-1,-1,2
5040,0,-1,0,4,0,-2,1
5041,-3,0,1,-1,2,1,3
5042,-2,2,1,-3,-1,0,0
5043,-3,3,-3,3,-3,3,4
5044,-1,0,1,1,-1,0,3
5045,-1,0,0,0,0,0,3
5046,0,0,0,0,0,0,3
5047,1,1,1,-3,2,1,2
5048,2,1,-2,1,-1,0,1
5049,-2,3,-1,-2,2,1,0
5050,-2,-1,0,0,0,0,3
5051,-2,3,-3,2,0,1,4
5052,-1,4,-1,-2,0,-1,0
5053,0,2,-1,0,2,-3,0
5054,0,0,0,0,0,0,3
5055,0,0,0,0,4,-3,3
5056,-1,-1,0,4,0,-2,1
5057,0,-1,0,2,-2,0,1
5058,-1,0,4,-1,0,-2,2
5059,0,0,0,0,0,0,3
5060,1,-2,-1,3,-2,0,1
5061,3,-3,3,-3,2,-2,5
5062,1,-3,2,0,-1,2,5
5063,-2,0,1,-2,1,1,2
5064,3,-2,-1,3,-3,-1,1
5065,3,-3,-1,0,0,0,5
5066,1,-2,-1,1,1,-2,3
5067,0,3,-2,-1,3,-3,0
5068,0,4,-2,-1,3,-3,0
5069,3,0,-3,3,-2,1,1
5070,-3,-1,4,-3,-1,0,2
5071,0,4,-3,-1,4,-3,0
5072,1,-3,2,0,-2,3,5
5073,-2,3,-2,1,-2,3,4
5074,-1,-1,3,-1,-1,0,2
5075,0,1,-2,3,-3,3,4
5076,0,4,0,-2,0,1,0
5078,0,4,-3,1,-1,3,4
5079,0,0,-1,0,1,-1,3
5080,0,-3,-1,0,0,0,3
5081,3,-3,2,0,-1,-1,5
5082,-3,-1,4,0,-3,3,2
5083,1,-3,2,0,0,-2,5
5084,2,-2,-1,0,0,0,5
5085,3,-3,-1,0,0,4,5
5086,-3,3,-2,0,0,-1,0
5087,-1,1,-1,3,-2,2,4
5088,-1,-1,-1,2,-1,1,1
5089,3,-2,-1,3,0,-3,1
5090,-3,-1,0,0,0,0,3
5091,-1,2,0,0,-1,0,3
5092,-2,0,-1,3,-2,0,4
5093,0,0,0,0,0,0,3
5094,-2,1,-2,3,-2,0,4
5095,0,0,0,4,-3,-1,1
5096,2,0,-1,0,0,1,3
5098,-3,1,0,2,-1,-2,4
5099,0,-1,0,1,-2,2,1
5100,0,-1,0,0,0,0,3
5101,-1,-2,-1,0,0,0,3
5102,-2,3,0,-3,2,-2,0
5103,3,-3,3,-2,1,-1,5
5104,3,-2,-1,3,-3,0,1
5105,2,-2,3,-1,0,-1,5
5106,-1,2,1,-3,3,-2,0
5107,-1,-1,-1,3,-2,0,1
5108,-1,4,-3,3,-3,3,4
5109,-3,-1,0,0,0,0,3
5110,-3,3,-3,3,-1,1,4
5111,-2,3,-2,0,2,-1,0
5112,0,3,-3,-1,0,0,0
5113,-1,-1,2,0,-2,2,2
5114,-1,-1,3,-1,-1,1,2
5115,1,-1,-1,2,0,0,1
5116,0,-1,4,-3,0,-1,2
5117,0,0,4,-3,-1,4,2
5118,0,0,0,0,0,0,3
5119,4,-3,-1,4,-3,-1,1
5120,-1,-1,2,-2,3,-3,2
5121,0,-1,0,1,-1,2,3
5122,-3,-1,0,0,4,-2,3
5123,-1,1,-3,-1,0,0,0
5124,-3,2,-2,1,2,-3,0
5125,-3,3,-3,3,-3,-1,4
5126,0,-1,0,-1,0,0,3
5127,-2,1,-2,2,0,-1,4
5128,-3,3,-3,-1,0,4,0
5129,2,-1,-2,0,3,-1,3
5130,0,0,0,0,0,0,3
5131,-1,0,0,4,-3,-1,1
5132,1,-2,2,-1,1,-1,5
5133,-2,2,-3,3,-2,-1,4
5134,-1,0,0,-2,0,3,3
5135,-1,4,-3,0,-1,0,0
5136,-1,0,-1,1,-2,3,4
5137,0,0,4,-3,3,-2,2
5138,-3,-1,4,-3,-1,0,2
5139,-3,1,2,-3,1,-1,2
5140,0,0,0,0,0,0,3
5141,-3,0,-1,0,0,0,3
5142,0,-1,3,-2,-1,3,2
5143,-2,1,2,-3,2,0,2
5144,-1,-1,2,0,0,-1,2
5145,0,-1,0,0,0,0,3
5146,-2,-1,2,0,1,-3,3
5147,-3,3,0,-3,-1,0,0
5148,1,-2,0,1,0,-2,3
5149,-3,-1,0,0,0,0,3
5150,-1,2,-2,3,-2,1,4
5151,0,1,0,0,-2,3,3
5152,-2,0,-1,0,0,0,3
5153,-3,0,1,1,0,-2,3
5154,0,4,-3,3,-3,-1,4
5155,-1,1,-3,3,-3,3,4
5156,3,-3,2,-2,2,-2,5
5157,0,4,-3,3,-1,1,4
5158,3,0,-2,-1,2,1,5
5159,-2,0,0,0,3,-2,3
5160,2,-2,2,-3,0,3,5
5161,3,-3,2,0,1,-3,5
5162,0,3,-2,-1,-1,0,0
5163,3,-3,-1,4,0,-3,1
5164,-3,-1,0,4,-1,-2,1
5165,2,-1,-1,1,2,0,3
5166,3,-3,0,2,0,-1,5
5167,0,1,-1,1,0,-1,3
5168,-3,1,1,0,-2,3,3
5169,-3,0,2,1,-3,2,3
5170,0,0,0,4,-1,-2,1
5171,-1,-1,0,1,-1,1,3
5172,0,1,0,0,-1,0,3
5173,-2,0,0,0,2,-1,3
5174,0,2,-3,1,2,-3,0
5175,-1,3,0,0,-2,-1,4
5176,-3,2,1,-3,3,0,0
5177,0,-1,-2,3,-3,3,1
5178,-3,3,-3,3,-1,1,4
5179,0,0,0,0,0,0,3
5180,0,-3,-1,4,0,-1,1
5181,-3,2,1,-3,3,-2,0
5182,-1,-1,-1,3,-3,3,1
5183,0,0,0,0,0,4,3
5184,-2,0,0,0,1,-1,3
5185,-3,0,3,-3,-1,0,2
5186,-3,3,-3,3,-1,-2,4
5187,-2,0,1,1,-3,3,1
5188,4,-3,3,-3,-1,0,5
5189,-2,-1,1,2,-3,3,1
5190,3,-3,0,3,-3,0,1
5191,0,3,-1,-2,1,0,0
5192,0,0,0,0,0,0,3
5193,-1,0,0,4,-2,2,1
5194,-1,3,-2,2,-3,1,4
5195,-1,0,-2,3,-3,2,4
5196,-2,2,0,0,0,-2,0
5197,4,-1,-1,0,-1,3,5
5198,-1,-2,2,1,-3,1,1
5200,1,0,-1,0,0,1,3
5201,0,0,0,0,0,0,3
5202,-1,0,-1,3,-1,0,1
5203,-1,2,0,-2,1,2,0
5204,-3,3,-3,3,-3,-1,4
5205,2,-2,0,3,-3,0,1
5206,0,-1,4,-1,-2,3,2
5207,-2,3,-3,3,-1,-1,4
5208,-1,0,-1,0,3,0,3
5209,-1,-1,2,-3,2,-1,2
5210,2,0,-1,2,-2,-1,1
5211,0,-1,2,-1,2,-2,2
5212,3,-3,-1,0,0,0,5
5213,3,-3,0,2,1,-3,5
5214,-3,3,-3,3,-2,-1,4
5215,1,-1,1,-2,3,-2,5
5216,0,0,2,-3,3,-2,2
5217,-1,-1,3,0,-3,2,2
5218,-1,4,-1,-2,-1,4,0
5219,-3,0,2,1,-3,3,3
5220,0,4,-3,-1,4,0,0
