CUSTNO,사치품_구매횟수 등급,일용품_구매횟수 등급,선매품_구매횟수 등급,사치품_구매액 등급,일용품_구매액 등급,선매품_구매액 등급,전체_구매횟수 등급,전체_구매액 등급
4321,4,2,5,4,4,5,5,2
4322,4,6,3,4,4,4,4,6
4323,11,1,8,11,6,8,8,1
4324,1,7,4,1,1,4,2,7
4325,2,6,3,2,2,3,3,5
4326,3,5,3,3,6,3,3,4
4327,3,8,2,3,2,2,2,8
4328,2,8,1,1,5,1,1,7
4329,5,9,2,5,6,2,3,9
4330,11,1,8,11,5,8,7,1
4331,10,2,5,4,8,5,7,2
4332,2,8,5,1,1,3,2,8
4333,11,3,9,11,3,9,6,3
4334,10,6,7,5,7,8,8,6
4335,5,3,6,5,1,6,4,3
4336,11,4,9,11,7,5,7,4
4337,11,5,8,11,10,8,10,5
4338,4,10,2,4,8,2,3,10
4339,11,1,11,11,1,11,4,1
4340,2,9,1,1,1,1,1,7
4341,1,9,1,1,6,1,1,8
4342,3,4,3,3,6,3,4,4
4343,5,4,5,10,2,4,4,4
4344,1,9,1,1,6,1,1,8
4345,2,6,1,2,5,3,3,5
4346,11,6,11,11,5,11,8,6
4347,5,7,2,10,2,3,3,7
4348,1,9,1,1,2,1,1,8
4349,10,6,7,5,8,7,8,7
4350,3,4,1,4,1,2,2,3
4351,11,1,9,11,7,9,9,1
4352,11,2,8,11,7,7,8,2
4353,11,1,8,11,5,8,7,1
4354,11,5,5,11,6,6,7,5
4355,11,6,10,11,8,10,10,6
4356,5,9,3,5,8,3,4,9
4357,3,9,2,3,7,2,3,9
4358,2,10,2,4,10,4,5,10
4359,11,1,10,11,3,10,6,1
4360,4,7,1,5,2,2,3,6
4361,3,8,1,4,7,2,3,8
4362,1,8,1,1,3,1,1,7
4363,4,4,4,5,2,4,4,4
4364,4,9,4,4,10,5,8,10
4365,1,9,3,2,3,4,3,9
4366,10,7,6,4,10,7,10,7
4367,11,5,8,11,7,8,9,6
4368,2,9,3,4,8,4,5,9
4369,1,10,1,1,2,1,1,9
4370,10,1,8,10,4,7,6,1
4371,3,8,1,3,5,3,3,7
4372,5,2,6,5,3,7,6,2
4373,10,3,8,10,6,8,8,3
4374,4,3,6,4,3,6,5,3
4375,1,9,4,1,4,2,1,8
4376,10,7,5,5,6,5,6,8
4377,10,2,7,10,6,7,7,2
4378,1,7,2,1,5,2,2,6
4379,11,3,8,11,4,3,4,3
4380,11,6,5,11,8,5,6,6
4381,1,7,2,1,1,1,1,6
4382,1,10,2,1,4,1,1,10
4383,3,9,2,3,2,1,2,9
4384,1,10,2,1,10,2,2,10
4385,11,1,6,11,6,7,8,1
4386,11,1,9,11,4,8,7,1
4387,5,6,3,10,9,5,7,6
4388,1,7,1,1,7,3,2,6
4389,4,6,3,5,5,2,3,5
4390,11,4,11,11,9,11,10,4
4391,10,4,5,5,3,5,5,4
4392,11,2,7,11,5,6,6,2
4393,10,8,10,10,9,10,10,8
4394,11,7,7,11,8,7,9,7
4396,11,5,10,11,5,9,7,5
4397,11,9,7,11,10,5,9,10
4398,11,5,10,11,4,10,7,5
4399,1,10,2,1,2,1,1,10
4400,11,1,9,11,7,7,9,1
4401,10,2,6,10,7,6,8,2
4402,10,4,6,10,2,6,5,4
4403,10,7,2,5,7,2,3,7
4404,3,7,4,5,7,5,7,7
4405,2,1,3,2,1,2,2,1
4406,2,9,4,3,9,4,5,10
4407,11,1,9,11,1,9,4,1
4408,1,9,3,1,3,2,1,8
4409,5,8,4,4,9,2,3,9
4410,4,8,2,10,6,3,4,7
4411,4,3,6,4,2,5,4,3
4412,1,9,2,1,4,1,1,9
4413,10,6,7,5,7,8,9,6
4414,2,4,1,1,2,2,1,3
4415,5,3,5,4,1,5,4,3
4416,5,2,6,5,3,6,6,2
4417,1,8,1,1,6,2,2,8
4418,11,3,8,11,7,8,9,3
4420,4,2,3,5,5,4,4,2
4421,3,1,6,3,8,6,7,1
4422,3,9,1,1,2,1,1,9
4423,11,2,8,11,6,8,8,2
4424,11,4,10,11,5,9,7,4
4426,3,1,5,4,2,6,4,1
4427,2,10,1,2,4,1,1,10
4428,4,7,2,3,1,1,2,7
4429,11,1,8,11,6,8,8,1
4430,5,8,3,4,6,2,3,9
4431,4,3,3,3,3,4,3,3
4432,2,8,1,3,6,2,3,8
4433,3,10,1,2,8,1,2,10
4434,4,7,1,5,10,5,8,6
4435,11,8,10,11,10,10,10,9
4436,4,3,4,5,3,4,4,3
4437,5,3,4,10,2,4,4,3
4438,2,8,1,2,3,1,1,7
4439,3,6,3,3,4,3,3,6
4440,11,1,10,11,8,10,9,1
4441,10,7,8,5,5,8,8,8
4442,11,3,9,11,2,9,6,3
4443,11,5,9,11,2,8,5,5
4444,10,5,5,5,5,5,6,5
4445,2,5,2,2,3,3,3,4
4446,4,7,3,3,3,2,2,7
4447,4,3,6,5,7,6,7,3
4448,11,1,10,11,3,10,6,1
4449,3,9,1,3,9,2,3,9
4450,11,5,7,11,2,7,5,6
4451,11,6,8,11,6,7,8,6
4452,11,7,5,11,8,6,8,8
4453,1,6,1,1,3,2,2,5
4454,11,6,4,11,9,6,9,6
4455,10,7,5,10,6,6,7,7
4456,3,9,2,4,9,3,4,9
4457,11,4,10,11,8,9,9,4
4458,4,5,4,4,3,4,4,4
4459,5,5,4,10,6,4,5,5
4460,11,3,5,11,5,4,5,3
4461,10,7,7,10,6,6,7,8
4462,10,3,8,10,6,8,8,3
4463,3,9,2,3,10,3,4,9
4464,11,7,8,11,9,8,9,7
4465,1,10,2,1,10,2,1,10
4466,3,8,2,2,7,3,3,7
4467,2,4,4,3,5,5,5,4
4468,11,2,10,11,4,9,7,2
4469,4,4,3,5,6,4,5,4
4470,2,10,1,1,7,1,1,9
4472,4,7,3,4,5,3,3,7
4473,1,10,1,2,9,1,1,10
4474,5,3,5,5,3,6,5,3
4475,1,9,1,1,4,1,1,7
4476,1,9,2,1,3,2,2,8
4477,11,6,10,11,9,10,10,7
4478,11,5,10,11,8,10,9,5
4479,4,10,4,5,10,3,5,10
4480,11,3,9,11,7,8,9,3
4481,2,8,1,2,2,1,1,7
4482,10,5,5,10,8,6,8,5
4483,5,8,2,5,5,2,3,7
4484,10,5,7,10,4,6,6,5
4485,4,7,2,4,7,2,3,7
4486,11,7,6,11,4,4,5,7
4487,3,5,1,2,4,1,2,4
4488,11,9,5,11,9,6,9,10
4489,11,4,7,11,4,8,7,4
4490,4,9,4,2,9,5,5,9
4491,5,5,7,10,8,7,9,6
4492,5,9,4,4,10,5,7,9
4493,11,3,10,11,9,5,9,4
4494,1,8,2,1,1,1,1,8
4495,4,6,4,4,7,3,4,6
4496,3,8,4,2,6,3,3,8
4497,11,1,10,11,4,8,6,1
4498,11,1,7,11,2,8,5,1
4499,3,7,3,2,6,2,2,7
4500,11,5,11,11,10,11,10,6
4501,3,8,2,4,4,3,3,7
4502,10,3,7,5,3,7,6,3
4503,11,5,10,11,3,10,6,5
4504,5,10,3,10,8,2,3,10
4505,11,7,4,11,7,5,6,7
4506,11,3,11,11,9,11,10,3
4507,11,5,10,11,8,9,9,6
4508,11,5,6,11,10,7,10,5
4509,11,8,11,11,10,11,10,9
4510,11,1,10,11,2,8,6,1
4511,5,8,4,5,7,4,5,8
4512,4,6,3,3,2,3,3,5
4513,2,9,2,1,5,1,2,9
4514,5,3,4,5,5,5,6,3
4515,5,1,6,5,4,7,6,1
4516,11,5,7,11,10,7,10,5
4517,1,9,1,1,8,1,1,7
4518,1,9,2,1,6,2,1,8
4519,3,9,2,2,1,3,3,9
4520,4,10,1,3,10,2,3,10
4521,11,4,6,11,3,6,5,4
4522,5,2,6,5,3,5,5,2
4523,1,10,3,1,5,2,1,10
4524,11,5,10,11,6,10,8,6
4525,2,9,1,1,5,1,1,8
4526,11,2,6,11,5,6,7,2
4527,1,10,1,2,8,1,2,8
4528,11,5,8,11,9,6,9,6
4529,11,6,11,11,10,11,10,6
4530,3,4,6,3,6,5,5,4
4531,11,6,6,11,9,6,8,7
4532,2,10,1,3,9,1,2,9
4533,11,2,5,11,5,6,7,2
4535,4,6,4,5,5,4,5,5
4536,1,9,3,1,2,3,1,9
4537,1,10,1,1,5,1,1,9
4538,1,4,1,2,1,1,1,3
4539,2,9,1,3,4,1,2,8
4540,11,3,8,11,4,9,6,3
4541,11,5,8,11,5,8,7,5
4542,2,7,3,2,4,3,3,7
4543,11,4,7,11,5,7,7,5
4544,11,1,9,11,3,9,6,1
4545,2,10,3,1,7,2,2,10
4546,1,6,1,1,6,1,1,5
4547,4,5,2,3,3,2,3,5
4548,5,9,3,5,8,3,4,9
4549,11,3,7,11,2,6,5,3
4550,4,7,4,3,5,4,4,7
4551,4,1,6,4,1,5,3,1
4552,1,8,1,1,4,1,2,8
4553,11,8,8,11,7,8,8,9
4554,11,4,11,11,8,11,10,4
4555,11,6,9,11,7,8,9,6
4556,10,3,6,4,9,6,8,3
4557,11,6,8,11,6,7,8,6
4558,11,8,10,11,10,9,10,9
4559,11,5,8,11,7,7,8,5
4560,1,8,3,1,6,3,2,8
4561,2,8,3,3,7,3,4,8
4562,11,3,5,11,4,6,6,3
4563,1,7,2,1,1,1,1,6
4564,11,6,7,11,1,6,4,6
4565,11,4,8,11,4,8,7,5
4566,5,1,4,4,1,3,3,1
4567,10,2,5,5,2,5,4,2
4568,11,8,5,11,10,6,9,9
4569,10,1,8,5,3,8,6,1
4570,11,5,7,11,9,8,10,5
4571,4,9,3,5,10,4,5,9
4572,2,6,1,3,6,2,2,5
4573,11,7,6,11,6,6,7,7
4574,3,1,3,3,1,3,3,1
4575,4,8,4,4,4,4,4,8
4576,2,8,2,1,3,3,2,7
4577,10,2,8,10,5,8,7,3
4578,11,5,8,11,9,9,10,5
4579,2,9,4,3,7,4,5,9
4580,5,8,4,5,9,5,7,9
4581,11,5,7,11,7,6,8,6
4582,2,8,2,2,5,2,3,8
4583,1,7,2,1,1,1,1,6
4584,4,2,1,4,3,3,4,2
4585,10,5,8,5,7,7,8,5
4586,4,8,3,5,8,5,6,8
4587,3,8,2,3,3,2,2,7
4588,1,10,1,1,5,1,1,8
4589,2,10,1,2,1,1,1,10
4590,4,6,4,5,7,4,5,5
4591,5,6,3,5,6,4,5,6
4592,4,9,3,4,3,2,3,9
4593,5,6,4,5,6,4,5,6
4594,11,4,8,11,4,8,7,5
4595,11,7,9,11,8,8,9,8
4596,3,1,5,4,1,4,3,1
4597,4,8,3,4,3,2,3,8
4598,11,4,7,11,5,7,7,4
4599,11,4,4,11,1,3,3,4
4600,11,3,9,11,4,9,7,3
4601,3,6,1,2,2,2,2,6
4602,11,4,10,11,9,9,10,4
4603,11,2,6,11,8,5,8,2
4604,11,2,10,11,5,10,7,2
4605,3,9,2,2,7,2,3,8
4606,3,9,1,3,5,1,2,8
4607,2,2,3,3,3,3,3,2
4608,5,9,3,4,7,3,3,9
4609,4,4,2,4,2,4,4,4
4610,1,8,1,1,2,1,1,7
4611,5,3,3,10,1,3,2,3
4612,2,10,1,3,9,2,2,10
4613,5,3,5,5,6,5,6,3
4614,2,9,2,3,6,2,2,8
4615,3,10,6,2,5,6,4,10
4616,10,8,5,10,7,5,8,8
4617,4,3,4,3,3,3,3,3
4618,2,9,3,2,4,1,1,9
4619,11,5,9,11,9,9,10,6
4620,1,7,2,1,1,2,1,7
4621,11,1,6,11,1,6,4,1
4622,5,4,5,10,9,6,8,4
4623,11,3,7,11,8,7,9,3
4624,3,8,1,3,8,2,3,7
4625,11,4,11,11,10,11,10,5
4626,11,6,6,11,2,6,4,7
4627,1,5,3,1,2,3,2,4
4628,11,4,11,11,5,11,8,4
4629,11,6,10,11,5,8,7,6
4630,1,10,1,2,9,1,1,8
4631,11,4,7,11,7,6,8,4
4632,4,4,4,5,8,4,5,3
4633,1,10,2,1,1,2,1,10
4634,11,2,8,11,2,9,5,2
4635,11,2,11,11,4,11,7,2
4636,3,6,2,2,2,2,2,6
4637,1,6,1,1,1,1,1,5
4638,1,6,1,1,2,1,1,5
4639,11,3,5,11,5,7,7,3
4640,2,9,2,2,6,1,1,9
4641,5,2,7,5,3,7,6,2
4642,11,5,8,11,7,8,8,5
4643,11,5,8,11,8,9,9,5
4644,11,1,7,11,4,8,7,1
4645,1,3,2,1,1,2,1,3
4646,4,1,6,4,2,5,4,1
4647,11,1,11,11,3,11,6,1
4648,4,5,5,4,6,5,6,5
4649,1,6,2,1,5,1,2,5
4650,2,7,1,3,3,1,1,6
4651,2,10,3,1,8,3,3,10
4652,2,10,1,3,7,2,2,9
4653,10,1,4,10,1,4,3,1
4654,10,7,3,10,9,4,5,7
4655,2,8,2,2,7,2,3,8
4656,2,9,3,2,1,1,1,9
4657,11,2,7,11,1,4,3,2
4658,2,5,1,2,6,2,3,4
4659,3,8,5,1,1,1,1,8
4660,3,7,4,3,6,4,5,7
4661,1,8,3,1,2,2,1,8
4662,1,7,1,1,4,1,1,7
4663,1,9,1,2,6,2,2,8
4664,1,10,1,1,10,1,1,8
4665,11,5,8,11,7,7,8,6
4666,4,10,1,4,10,2,3,10
4667,10,1,3,10,1,4,3,1
4668,4,7,4,5,9,5,7,7
4669,11,2,4,11,3,5,5,2
4670,11,3,8,11,7,8,8,3
4671,11,6,9,11,7,8,9,6
4672,3,7,3,2,2,3,3,7
4673,11,2,8,11,4,6,7,2
4674,5,4,5,5,3,4,4,4
4675,1,10,1,2,10,1,2,10
4676,2,6,5,4,7,6,7,6
4677,3,10,2,3,5,3,3,10
4678,11,8,8,11,10,7,10,8
4679,2,9,2,2,4,2,2,8
4680,11,6,9,11,1,9,4,7
4681,1,6,1,2,2,1,1,5
4682,11,6,9,11,8,8,9,7
4683,11,5,8,11,8,8,9,5
4684,11,9,5,11,10,6,10,9
4685,11,4,9,11,6,9,8,4
4686,5,6,2,5,7,3,4,5
4687,1,4,2,2,2,3,2,3
4688,10,5,9,5,5,7,7,5
4689,1,10,4,1,5,2,1,10
4690,4,6,3,4,6,5,5,6
4691,11,5,10,11,6,10,8,5
4692,11,3,6,11,4,7,6,3
4693,4,6,4,5,5,4,4,6
4694,3,1,3,4,2,4,4,1
4695,11,6,4,11,2,4,4,6
4696,11,5,10,11,10,10,10,5
4697,1,3,3,1,1,1,1,3
4698,5,2,4,10,3,5,5,2
4699,1,10,2,1,9,2,1,10
4700,11,6,8,11,7,7,8,7
4701,10,3,4,10,5,5,5,3
4702,5,6,6,10,5,5,5,6
4703,3,7,1,4,6,2,3,6
4704,4,1,4,3,2,5,4,1
4705,3,5,1,3,5,3,3,5
4706,11,3,9,11,5,9,8,3
4707,11,6,9,11,7,9,8,7
4708,4,5,3,5,5,4,5,5
4709,4,10,4,4,10,5,8,10
4710,4,10,2,3,9,2,3,10
4711,1,8,2,1,8,2,2,8
4712,1,7,3,2,4,3,3,7
4713,11,8,11,11,10,11,10,9
4714,5,7,4,5,5,3,4,7
4715,10,3,4,10,2,3,3,3
4716,4,1,5,4,4,6,5,1
4717,5,1,9,4,1,5,3,1
4718,11,7,9,11,9,8,10,8
4719,10,8,5,10,10,4,6,9
4720,1,7,3,1,1,1,1,6
4721,11,3,9,11,6,9,8,3
4722,3,8,3,3,2,3,3,8
4723,11,6,7,11,10,8,10,6
4724,10,7,8,10,7,8,9,7
4725,1,5,2,1,5,2,1,5
4726,2,9,1,3,10,3,3,8
4727,11,5,6,11,5,6,6,5
4728,11,4,10,11,7,8,9,5
4729,3,5,2,3,4,3,3,4
4730,1,10,1,1,8,2,2,9
4731,11,2,9,11,6,9,8,2
4732,4,6,5,4,2,4,4,6
4733,1,9,1,1,4,1,1,8
4734,2,7,2,3,2,2,2,6
4735,3,6,3,3,1,2,2,5
4736,11,8,5,11,10,5,8,9
4737,3,8,4,5,5,5,6,8
4738,10,5,4,10,1,1,2,5
4739,1,9,4,1,4,3,2,10
4740,2,7,1,2,5,1,1,6
4741,2,10,3,1,8,1,2,10
4742,5,2,6,5,6,5,6,2
4743,1,10,1,1,9,2,2,10
4744,11,7,10,11,1,9,4,8
4745,2,10,1,4,8,3,3,8
4746,2,5,1,2,2,1,1,4
4747,11,6,7,11,6,7,7,6
4748,4,9,5,3,10,4,7,10
4749,10,1,5,10,1,4,3,1
4750,10,1,6,10,2,6,5,1
4751,3,8,1,4,9,3,3,7
4752,11,3,5,11,4,4,5,3
4753,4,6,6,4,7,5,6,7
4754,11,9,5,11,9,5,8,9
4755,4,5,6,5,6,7,7,5
4756,2,6,3,3,6,3,4,5
4757,2,9,1,3,3,1,1,8
4758,11,4,8,11,9,7,9,4
4759,3,8,2,4,6,3,4,8
4760,11,2,10,11,2,9,5,2
4761,1,10,3,1,8,1,1,9
4762,5,9,4,5,5,3,4,9
4763,11,6,8,11,5,9,8,6
4764,10,7,1,5,9,3,4,6
4765,1,10,1,1,7,1,1,10
4766,11,1,9,11,1,7,4,1
4767,4,9,2,4,10,2,3,9
4768,11,1,5,11,3,5,4,1
4769,2,7,3,3,3,3,3,7
4770,1,5,4,1,1,3,2,4
4771,11,4,6,11,5,6,7,5
4772,11,5,10,11,8,10,9,6
4773,2,10,3,1,6,2,2,10
4774,10,2,2,5,1,1,1,2
4775,2,1,2,2,1,2,2,1
4776,11,8,4,11,6,4,4,8
4777,3,5,3,3,2,2,3,4
4778,4,3,5,4,2,5,4,3
4779,5,6,2,5,8,4,5,6
4780,11,4,10,11,9,9,10,4
4781,1,4,1,1,2,3,1,3
4782,4,4,3,3,3,4,4,4
4783,11,8,9,11,10,10,10,9
4784,1,9,2,2,2,2,3,9
4785,11,3,10,11,6,10,8,3
4786,4,5,3,5,6,4,5,4
4787,11,4,11,11,10,11,10,4
4788,1,8,1,1,6,1,1,7
4789,10,10,6,5,10,7,10,10
4790,11,2,11,11,7,11,9,2
4791,5,8,3,4,10,4,7,8
4792,1,9,2,2,3,2,2,8
4793,11,5,7,11,5,9,7,5
4794,11,4,10,11,8,8,9,4
4795,11,3,6,11,3,7,5,3
4796,4,5,6,4,10,7,9,6
4797,3,8,3,3,7,2,3,8
4798,2,7,1,1,3,2,2,6
4799,1,2,1,1,1,1,1,1
4800,1,10,1,1,1,1,1,9
4801,11,6,5,11,2,4,4,6
4802,4,5,4,5,3,4,4,5
4803,11,1,6,11,1,7,4,1
4804,11,3,9,11,2,9,5,3
4805,4,1,5,5,3,6,5,1
4806,11,6,10,11,8,9,9,7
4807,11,6,11,11,9,11,10,6
4808,2,10,2,3,8,3,4,10
4809,11,5,6,11,6,6,7,5
4810,2,4,1,2,2,1,2,3
4811,1,9,1,1,4,1,1,8
4812,4,8,3,4,6,3,4,8
4813,3,8,2,3,7,3,4,8
4814,2,10,1,2,9,2,2,9
4815,10,7,5,10,7,5,7,7
4816,5,1,4,4,2,4,4,1
4817,10,4,6,10,9,6,9,4
4818,1,7,2,1,1,1,1,6
4819,11,10,10,11,10,9,10,10
4820,1,10,1,1,7,1,1,10
4821,1,10,2,1,2,2,1,10
4823,4,6,2,3,2,3,3,6
4824,10,8,4,10,1,4,1,9
4826,2,8,1,2,1,1,1,6
4827,2,6,1,2,3,1,2,5
4828,3,2,6,2,2,6,4,2
4829,11,2,5,11,2,5,4,2
4830,4,10,1,3,4,1,1,9
4831,11,4,5,11,1,5,4,4
4832,10,1,4,10,2,4,4,1
4833,2,9,3,3,8,2,3,9
4835,3,8,2,3,9,3,4,8
4836,11,1,6,11,2,6,5,1
4837,4,5,1,5,4,4,4,4
4838,1,3,2,3,3,4,3,2
4839,5,2,5,5,4,5,6,2
4840,11,2,8,11,6,8,8,2
4841,2,10,3,2,9,4,4,10
4842,11,1,10,11,4,10,7,1
4843,2,9,4,1,7,4,3,9
4844,11,3,9,11,5,10,8,3
4845,11,4,10,11,8,9,9,5
4846,11,4,8,11,8,7,9,4
4847,2,9,2,3,8,3,4,9
4848,1,10,2,1,9,2,2,10
4849,4,9,4,5,6,4,4,10
4850,4,5,3,3,2,3,3,4
4851,2,10,4,2,9,4,4,10
4852,2,6,2,2,3,2,2,5
4853,3,8,1,2,4,2,2,7
4854,11,1,8,11,1,8,4,1
4855,2,9,5,2,8,4,4,10
4856,5,7,7,5,9,7,9,7
4857,11,6,7,11,3,7,6,6
4858,2,9,5,2,4,4,3,9
4859,5,6,7,3,8,8,7,6
4860,1,8,1,1,4,2,2,7
4861,3,7,3,2,4,1,1,7
4862,4,3,6,2,2,5,3,3
4863,4,7,3,4,6,3,3,6
4864,5,9,3,4,10,1,3,10
4865,5,6,3,5,4,2,3,5
4866,2,10,1,2,6,1,1,10
4867,5,9,3,10,10,3,5,9
4868,4,2,5,4,6,5,6,2
4869,11,1,10,11,8,9,9,1
4870,2,7,5,3,8,4,5,7
4871,11,1,7,11,4,6,6,1
4872,11,3,10,11,6,10,8,3
4873,4,10,1,4,9,2,3,10
4874,10,6,5,10,9,5,8,6
4875,3,10,1,3,4,1,1,10
4876,11,1,5,11,4,5,5,1
4877,2,9,3,1,8,3,2,9
4878,3,3,1,1,1,1,1,2
4879,11,2,8,11,4,6,6,2
4880,2,9,4,3,7,4,4,10
4881,3,1,3,4,1,2,2,1
4882,3,2,6,3,3,6,4,2
4883,3,9,2,2,10,3,4,9
4884,2,10,1,1,5,1,1,10
4885,11,9,7,11,1,7,3,10
4886,11,7,7,11,8,6,9,7
4887,1,10,1,2,5,1,2,10
4888,3,6,1,2,5,1,1,5
4889,3,4,2,4,1,2,2,3
4890,5,1,3,5,1,5,4,1
4891,5,7,5,5,10,6,9,7
4892,11,6,7,11,8,7,8,6
4893,11,2,11,11,3,11,6,2
4894,2,10,2,1,4,1,1,10
4895,5,8,6,5,7,6,7,8
4896,3,1,4,3,2,4,3,1
4897,10,3,6,10,6,5,6,3
4898,4,10,3,4,9,3,4,10
4899,11,5,10,11,8,10,9,5
4900,2,10,2,1,9,2,2,10
4901,11,2,9,11,6,8,8,2
4902,4,2,4,5,1,4,3,2
4903,5,5,5,5,5,4,4,5
4904,11,3,3,11,7,4,6,3
4905,1,9,1,1,1,1,1,8
4906,11,2,5,11,3,5,5,2
4907,4,9,2,4,7,3,3,9
4908,4,3,6,10,5,5,6,3
4909,3,7,3,3,7,3,4,7
4910,4,8,3,4,9,3,4,8
4911,10,6,6,10,9,6,9,6
4912,1,10,2,1,2,1,1,10
4913,4,6,1,4,3,2,2,5
4914,5,1,4,5,5,5,5,1
4915,4,9,4,4,10,4,5,10
4916,11,4,7,11,6,9,8,4
4917,11,4,6,11,5,6,6,4
4918,11,2,7,11,3,8,6,2
4919,11,1,9,11,2,9,5,1
4920,10,3,6,10,5,6,7,3
4921,10,2,8,10,3,8,6,2
4922,1,8,1,2,7,1,1,7
4923,11,6,8,11,9,9,10,6
4924,5,2,5,4,5,4,4,2
4925,3,8,1,4,3,2,2,6
4927,3,8,1,3,6,2,2,8
4928,11,6,9,11,8,9,9,6
4929,11,5,5,11,4,5,5,5
4930,3,6,4,2,5,3,3,6
4931,11,5,7,11,4,8,7,6
4932,11,4,6,11,5,7,7,4
4933,4,8,1,5,7,3,4,7
4934,11,3,8,11,4,9,6,3
4935,2,7,3,3,8,3,4,7
4936,3,6,5,2,6,4,4,6
4937,11,2,9,11,6,9,8,2
4938,10,3,2,10,5,2,3,3
4939,10,8,3,10,9,4,6,8
4940,3,9,1,3,10,3,4,8
4941,4,7,2,5,6,3,3,6
4942,5,5,9,10,5,8,7,5
4943,4,3,1,4,4,3,3,2
4944,3,5,1,4,2,1,2,5
4945,11,5,6,11,5,8,7,5
4946,3,6,1,4,6,3,4,5
4947,2,4,1,2,1,1,1,3
4948,5,8,6,5,1,5,3,9
4949,5,8,5,5,3,4,4,9
4950,10,6,4,10,9,5,8,6
4951,11,2,10,11,7,10,9,2
4952,10,5,7,10,2,6,5,5
4953,5,8,1,4,3,1,2,7
4954,2,10,2,3,9,3,3,9
4955,3,8,1,3,6,2,2,7
4956,10,2,7,10,5,6,6,2
4957,10,6,6,5,8,6,8,6
4958,4,9,4,5,10,4,6,10
4959,2,6,1,3,4,1,2,5
4960,11,1,10,11,3,10,6,1
4961,4,1,5,5,1,5,4,1
4962,5,3,6,5,2,8,5,3
4963,10,10,1,10,10,1,2,10
4964,11,2,11,11,8,11,9,2
4965,1,8,2,2,6,3,3,8
4966,3,9,2,4,10,3,4,9
4967,5,8,4,5,2,3,3,8
4968,3,6,5,4,9,4,6,6
4969,11,7,7,11,10,8,10,7
4970,3,9,1,2,6,1,2,9
4971,4,7,3,2,3,2,2,7
4972,10,3,6,5,6,6,7,3
4973,5,6,8,5,3,8,6,6
4974,2,5,1,3,4,2,2,4
4975,1,10,3,1,2,2,1,9
4976,11,3,9,11,6,10,8,3
4977,5,9,2,5,8,3,3,9
4978,11,5,7,11,3,8,6,5
4979,5,6,4,2,5,5,5,6
4980,3,4,2,4,1,3,3,4
4981,2,7,1,1,2,1,1,6
4982,3,4,5,4,6,5,6,4
4983,11,3,8,11,3,8,6,3
4984,1,7,1,1,3,1,1,5
4985,2,10,1,2,10,3,3,10
4986,11,4,6,11,8,8,9,4
4987,5,6,7,3,3,7,5,7
4988,2,10,1,2,4,1,1,9
4989,1,2,1,1,3,1,1,1
4990,11,2,5,11,6,5,6,1
4991,11,5,8,11,10,8,10,5
4992,5,6,3,10,5,5,5,5
4993,11,5,7,11,7,6,8,5
4994,1,7,3,1,5,3,2,7
4995,2,3,3,3,3,4,4,2
4996,11,6,10,11,4,10,7,6
4997,3,6,3,3,3,2,3,6
4998,4,6,4,4,8,5,6,6
4999,10,1,8,5,7,8,8,1
5000,11,7,10,11,9,9,10,8
5001,11,6,7,11,8,7,9,6
5002,11,6,10,11,9,10,10,6
5003,1,3,3,1,1,1,1,3
5004,4,6,5,4,3,5,5,6
5005,4,5,3,5,5,3,4,5
5006,2,7,1,2,6,2,2,6
5007,4,7,4,5,4,3,4,7
5008,3,3,5,3,3,4,4,3
5009,10,5,7,5,2,4,4,5
5010,4,6,4,4,4,4,4,6
5011,4,10,3,4,10,3,4,10
5012,1,6,1,1,2,1,1,5
5013,11,3,8,11,4,9,7,3
5014,4,9,2,4,7,3,4,9
5015,4,8,1,2,1,2,2,8
5016,3,10,1,5,10,3,5,10
5017,11,3,9,11,8,9,9,3
5018,11,2,6,11,3,5,5,2
5019,4,1,6,5,2,6,4,1
5020,11,4,8,11,2,9,5,5
5021,4,2,4,3,3,4,4,2
5022,1,8,2,2,1,1,1,7
5023,10,2,7,4,3,7,5,2
5024,11,3,10,11,9,10,10,3
5025,1,6,2,1,3,1,1,5
5026,2,10,2,2,8,2,2,10
5027,1,6,3,2,3,3,2,5
5028,2,7,2,1,1,1,1,6
5029,11,3,5,11,5,5,6,3
5030,3,7,2,3,3,3,3,6
5031,10,7,4,4,8,4,4,7
5032,2,10,1,1,9,1,1,9
5033,2,5,1,2,5,2,2,4
5034,5,6,6,4,3,5,5,7
5035,3,6,1,3,5,1,1,5
5036,4,3,6,4,4,5,6,3
5037,11,2,9,11,5,9,7,2
5038,4,5,4,3,5,4,4,5
5039,11,7,7,11,8,6,9,7
5040,10,8,5,5,7,5,7,9
5041,1,8,2,1,2,1,1,7
5042,4,1,6,4,1,5,3,1
5043,11,2,8,11,8,9,9,3
5044,3,4,4,2,3,3,3,4
5045,11,7,11,11,9,11,10,7
5046,11,3,11,11,9,11,10,3
5047,2,10,2,2,8,1,2,10
5048,2,7,3,1,3,2,2,7
5049,10,6,5,10,5,5,5,6
5050,11,1,11,11,2,11,5,1
5051,4,2,4,4,4,4,4,2
5052,11,3,7,11,4,5,5,3
5053,4,10,1,4,5,2,2,8
5054,11,2,8,11,6,9,8,2
5055,11,3,7,11,7,9,9,3
5056,11,5,11,11,6,11,8,6
5057,1,10,2,1,10,3,3,10
5058,5,5,8,5,6,8,8,6
5059,11,7,10,11,7,9,9,8
5060,3,1,4,4,9,4,5,1
