CUSTNO,Monetary_의류/이미용_고가_증감여부_q2_q1,Monetary_의류/이미용_고가_증감여부_q3_q2,Monetary_의류/이미용_고가_증감여부_q4_q3,Monetary_의류/이미용_고가_증감여부_q5_q4,Monetary_의류/이미용_고가_증감여부_q6_q5,Monetary_의류/이미용_고가_증감여부_q7_q6,Monetary_의류/이미용_고가_증감여부_q8_q7,Monetary_의류/이미용_고가_q2_q1_로그변환,Monetary_의류/이미용_고가_q3_q2_로그변환,Monetary_의류/이미용_고가_q4_q3_로그변환,Monetary_의류/이미용_고가_q5_q4_로그변환,Monetary_의류/이미용_고가_q6_q5_로그변환,Monetary_의류/이미용_고가_q7_q6_로그변환,Monetary_의류/이미용_고가_q8_q7_로그변환
545,2,2,3,2,3,3,4,-13.618525038388514,-13.165333172402104,12.31863029589932,-11.980924830815434,11.474073403217584,11.589452286409227,15.382774966778374
546,1,1,3,4,2,3,1,-14.725021514893971,-13.908859758080828,11.57297512763968,14.901407773455658,-12.297521383851329,14.092986703388302,-15.007542002881125
547,3,3,2,3,2,3,2,12.852741027026214,13.321548205530844,-14.002275613130871,14.01789787759624,-14.077854589216898,12.94036313663505,-13.607083268566626
548,3,4,2,4,1,3,4,11.004956053975636,12.86405347785231,-10.623857975306322,15.551717419678361,-15.589714318801,11.169408324936558,14.784344487088461
549,4,1,3,3,2,2,4,14.302271497086915,-14.219620817181667,12.131487373531586,13.09275994582945,-12.405198442580971,-12.446503289230293,14.439387201256881
550,0,4,1,4,2,4,2,0.0,13.614453955209324,-13.104128502894524,13.376955544065183,-12.524583797047391,15.135403652465481,-13.365479647063948
551,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.346587806209683,-12.346587806209683
552,4,2,3,2,1,4,2,13.581029350554727,-13.437434359296345,9.736268914826406,-12.344568342162248,-12.172303809013167,12.23904493626215,-9.987226995360627
553,4,2,3,1,4,2,1,14.47779012551823,-13.891764505932569,12.865444844258482,-14.124298286479428,13.276779721703466,-12.780950334194142,-13.314949320940368
554,3,3,1,4,2,3,2,13.268209408776684,13.718040088755272,-14.712373116058599,14.938097446532241,-14.74021485051607,13.917489205914174,-14.148577893486493
555,1,0,0,4,4,1,4,-12.085536217543014,0.0,0.0,13.078406439522611,13.365157669312492,-13.925171599782693,11.094754176352353
556,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,1,0,4,1,0,0,0,-10.496323010170258,0.0,10.208007566363692,-10.208007566363692,0.0,0.0,0.0
558,1,2,4,2,1,4,1,-11.58550387366514,-8.749904885787801,12.373583559133596,-9.818124887746643,-12.039025303485472,12.03136710968007,-12.174383682469989
559,2,3,1,3,2,2,4,-15.013742519875429,14.189255079958494,-14.7850855043694,13.795707630250442,-12.92582877702997,-13.617364151518025,15.78611603642846
560,1,1,4,3,4,3,2,-12.043755108132228,-9.911971613900896,12.10236522458973,11.730289823911733,13.749203861931193,13.385650860288196,-13.876220054376647
561,4,2,1,4,4,2,3,14.186421033519206,-12.11855737760882,-14.142523416488311,11.614173402090518,13.878473343207649,-12.831153213434519,12.38738712549147
562,1,4,1,1,4,3,1,-11.266297713467305,13.051404490741128,-12.89856480048009,-11.594274271703602,12.370164681114947,9.377919148519274,-12.419117115942525
563,1,4,3,3,2,3,1,-13.141486618365036,12.452923017759362,10.218028191391776,10.00528365397715,-10.76559472103504,12.054446380572093,-12.900130063174013
564,3,3,2,3,1,4,1,12.982546248280846,12.407716615800508,-14.675749691087976,14.644637379624662,-14.986729161031523,14.953414028327176,-14.822634198621307
565,3,3,3,2,3,3,2,12.97192427596042,13.21756548683658,12.509760346051173,-13.98626368190351,13.07136281571749,12.369095008814837,-13.181231963869191
566,2,1,4,1,4,1,4,-13.984744206387742,-14.335381598892505,12.868444694076771,-12.465482999962765,13.427098415537113,-13.255128478469768,15.184636944062875
567,3,4,1,4,1,1,3,11.304020716999956,13.683535242991873,-13.889253951728985,16.670091690561602,-16.620360602165558,-13.493787614416092,11.41617349447842
568,0,4,1,0,4,2,4,0.0,10.442191782501485,-10.442191782501485,0.0,10.368711837781223,-9.635674862239187,10.203907571506203
569,4,3,3,3,1,1,4,12.477152758436427,7.628671239080804,12.180008804536035,10.154467245188043,-13.000899173646694,-11.449140394948712,11.613304444842191
570,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,1,4,1,3,3,4,1,-13.986216471138137,13.112739716161341,-12.956045159052211,11.4229526473206,10.100655123640548,14.370664446861994,-14.41117905675938
572,2,3,2,2,4,2,2,-11.931838291734765,12.60071882920105,-11.80062297813297,-11.985450294657065,14.015124877435106,-9.73191396098153,-12.269601420263898
573,4,3,1,4,3,1,3,14.516183547431618,11.009291400831383,-14.329874465681247,13.84420242174143,13.044395437235886,-13.986793865479699,13.01348488990076
574,3,3,2,4,1,4,1,12.207023421700352,11.120847218021572,-11.356792034528487,14.005145423333042,-14.141813433544856,13.477965777938929,-13.602884755831472
575,4,3,2,2,4,1,4,10.95648454715842,10.644373402122023,-8.99500645660888,-10.570186765657056,13.191188196450728,-13.284288367662414,10.425064876675458
576,0,4,2,2,3,1,4,0.0,13.22333688073018,-12.578176009163125,-10.62880850831371,11.123116989751521,-12.092775387547183,12.895959262599181
577,1,0,4,2,3,1,1,-11.46666379858494,0.0,11.721706460191331,-10.236025541955597,10.290736343346493,-11.467858295418415,-10.281704275218136
578,3,2,3,2,3,2,2,13.615079053226644,-15.340905422118768,13.626761651021576,-13.920369590099439,13.145444121692568,-14.930452283746344,-12.919825944383508
579,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,0,0,4,1,0,4,1,0.0,0.0,9.707256246175197,-9.707256246175197,0.0,9.377536476838417,-9.377536476838417
581,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.782973383426132,-9.782973383426132
582,4,2,1,2,4,2,2,12.79405843420548,-12.471211592334583,-12.015733173186309,-10.139464451066207,12.884246899599905,-11.928433676015468,-11.062151048771844
583,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,3,1,4,3,1,3,2,11.44100460157649,-12.607960154442502,11.91321009460799,12.462869646189436,-12.700473617104507,12.192658398305152,-12.123541525568829
585,3,3,3,2,2,3,1,15.484752561071023,15.558808870555449,16.522852431573472,-16.235979692889213,-16.346198246523638,14.379522508004728,-16.055438058794845
586,3,3,2,2,2,3,2,14.342784790058028,14.40254703400019,-14.961833896074388,-14.397184693405617,-12.650374763903677,15.077861157530794,-14.978182613456957
587,4,1,4,2,1,4,2,15.530205158381928,-15.395910844294287,15.764002911811286,-14.306950478872274,-15.386215212233088,16.11496414376899,-15.84974787994618
588,4,3,2,1,2,4,2,14.561707426163181,14.556836745601966,-13.536770149424191,-15.21372979360901,-12.154528492182509,12.382233240825741,-11.78218427005454
589,2,4,1,1,4,3,2,-9.941504441112532,14.079351053948766,-14.008406837609332,-11.709789409031247,12.819123683349344,12.28368946734649,-11.342695286169704
590,4,2,4,2,1,4,3,11.440379874263414,-9.204918684102825,12.51264941878063,-12.0788899395624,-12.053387684417839,11.83822843367816,11.763904278745988
591,4,1,0,0,0,0,0,11.061843318361936,-11.061843318361936,0.0,0.0,0.0,0.0,0.0
592,4,4,1,3,1,4,1,12.622078584766742,13.611457449218658,-13.72645806602023,12.171428704372202,-12.891664717308839,13.89488406526634,-13.431812737977674
593,4,2,1,4,4,3,3,14.326103346319885,-13.103669957231151,-13.903134704775912,13.506532702671025,14.71998906904944,12.913498330991233,14.743722084636355
594,2,3,4,2,1,2,4,-14.285854043542669,14.825841874589008,16.748960570877824,-16.08055028508185,-16.400625233535962,-14.046737533971912,16.017733570715897
595,2,3,2,1,4,2,3,-11.86032556596239,12.883497578610985,-13.074564366674489,-12.607973555048606,13.213970781851035,-12.492762740806954,11.922775032794615
596,1,4,2,3,2,3,1,-13.390563571015113,13.24092888768276,-12.76159453972708,12.140849751198092,-12.663063147694162,11.098322485470852,-13.085173726076905
597,4,3,2,2,3,3,1,13.928127815510756,12.610733510891272,-13.355182525027956,-12.803203137648197,5.61816547435087,13.91255529457289,-14.405290834933338
598,4,1,1,0,0,0,4,12.08098140172538,-11.83980125716739,-10.540629120136702,0.0,0.0,0.0,8.50342539274539
599,1,0,4,1,4,4,3,-14.59741829560664,0.0,11.807671760012598,-11.807671760012598,10.722874286631608,12.836457708519756,11.409090973238685
600,0,0,0,0,4,3,3,0.0,0.0,0.0,0.0,11.944223295009708,9.222505080242732,12.210174419320998
601,1,4,1,2,1,0,0,-11.967517410957926,12.17711369273041,-11.892396564215332,-10.642967823344677,-10.295504128759223,0.0,0.0
602,1,4,3,1,4,2,3,-12.008983705151445,13.259841813297239,11.21006137732259,-13.380962764477584,13.557167075904713,-11.215178484650123,11.889412232721112
603,2,4,2,3,1,1,4,-12.486031341992819,15.611666103311327,-14.970656601367999,15.27168321870152,-15.868025681730874,-13.726536428294215,11.691190133609732
604,4,1,2,4,1,1,4,13.418546407471998,-13.269225049893686,8.301296100214797,13.587336469680427,-13.712730327548904,-11.7909928087061,12.664449852193236
605,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,3,1,4,1,1,0,4,13.588017945400047,-14.903424590197558,13.588554974964133,-13.380075895423571,-12.669628774256614,0.0,13.91932390318035
607,4,1,0,0,4,1,4,11.027942308068953,-11.027942308068953,0.0,0.0,12.78459701950713,-12.78459701950713,11.355865730218817
608,3,2,2,1,4,1,4,15.06483617740609,-14.946805007876781,-14.282160479564535,-15.406685549164935,15.359226610198883,-15.26949046593852,14.878329098079377
609,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,1,4,1,4,1,4,3,-11.109993343272267,10.661183079780137,-10.661183079780137,14.036288847202341,-14.036288847202341,12.098752864209734,8.951357952425644
611,3,2,2,3,4,2,3,13.587333558385208,-13.883024712240088,-13.545368111144665,12.6024540778782,14.825359511900935,-14.33450036589987,15.083998837484998
612,2,1,4,3,1,1,4,-12.915252965812446,-13.29935733224888,13.071941242867988,13.187235326886858,-13.812127376064073,-11.285650165826045,12.983304160617342
613,3,2,4,1,4,1,1,13.446807877562867,-13.537272443432956,15.883803897594873,-15.83877950774387,15.506772678636798,-15.446361688463062,-13.600348960981872
614,3,1,2,3,4,2,3,14.10914450229869,-14.48756575909653,-12.117529995992228,9.241111686635536,14.587302872984854,-13.385169171394747,13.300843388122885
615,3,2,1,4,3,3,1,14.00688079461164,-13.962654777609384,-13.779129103883426,13.206229899352893,11.03307893790621,9.928526535542336,-13.239468413831963
616,0,4,1,4,2,2,1,0.0,10.63023901253035,-10.63023901253035,10.864039286294194,-9.754505303216321,-8.367075063137083,-10.33299585689919
617,3,3,3,1,2,4,1,13.684925269990499,14.15461106315131,12.488120890422556,-14.746447419369519,-12.996714973781053,14.633363548059666,-14.455629312424085
618,4,2,1,3,1,3,4,14.008394677679822,-12.807777542916336,-13.363511136351484,12.09723282510503,-12.884592580121256,9.524199158248559,12.615526780980117
619,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,3,3,2,3,2,2,2,14.65969320916855,14.748090024231264,-15.23825021692457,15.411141607446167,-13.891949164032507,-15.113656404018222,-14.495752108753386
621,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,2,1,2,4,3,2,4,-13.5548522916641,-14.931289117643015,-12.692131221711923,12.990626796924305,11.209464331383966,-12.74841263778593,13.586619522351523
623,0,0,4,2,3,2,3,0.0,0.0,12.086052489969202,-11.094705797401515,11.45003651135411,-11.454312209818557,10.287649036493006
624,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,1,4,1,2,1,0,4,-10.745009545655968,11.895301946839659,-11.760331163693666,-9.89594540550409,-10.080400857424367,0.0,10.623510473133207
626,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.712475202303516,-10.712475202303516
627,4,3,2,2,2,4,2,12.621577014645345,11.165810956706526,-11.650275354486153,-11.403986310545237,-11.941636643679445,13.593488986341093,-13.07732822574071
628,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,1,4,2,4,2,1,0,-11.524932113870005,11.667972945432576,-9.89354984545104,12.001714839068118,-11.754378750244378,-11.795804329355523,0.0
630,1,4,1,2,3,2,1,-14.20644633515498,13.918055433319857,-13.68875270052219,-11.84108626831671,12.227136757983429,-11.24735825545422,-12.665483711730177
631,2,3,2,4,1,3,4,-12.088612649355424,10.816638440157009,-10.48591847454254,13.084036994399233,-13.132105800262828,8.673463421443456,12.68838160297218
632,0,0,4,3,1,4,1,0.0,0.0,10.375055978108703,7.561136749278007,-10.433266673117222,10.812556540340886,-10.812556540340886
633,1,2,3,2,3,3,2,-14.50384080511383,-13.071704640666848,13.299172463198643,-12.64444563307964,13.187097653930785,12.285109061129916,-13.543131410010231
634,1,1,2,4,2,1,4,-15.189032089737724,-13.15476122356269,-8.874813228217626,13.519403412737176,-12.712679307501197,-13.14470272093632,10.86488157351496
635,1,4,4,1,1,2,4,-17.214362475527473,15.543107165235647,16.737946437202705,-16.843632589237085,-14.970308256967689,-12.554868114464854,14.746102036072777
636,4,1,4,3,4,2,1,12.395787786798643,-12.584621148124267,10.112701073938911,9.708306752938604,11.19473044984804,-10.132669855869409,-11.393032608800487
637,1,4,1,4,4,1,4,-14.919144332759243,11.628752574829042,-11.628752574829042,13.370692989931293,14.695983277340018,-14.843028901152058,14.067138155272858
638,4,3,4,1,3,3,3,13.680001480843544,10.574836384560427,15.562504647685342,-15.71687968323467,12.634633796877086,11.205614912793575,13.315487735091022
639,1,3,3,3,2,2,4,-13.64954208185578,10.0680939968461,12.37258939660682,13.883758461423467,-13.924653107194837,-12.57395161231471,14.07257248294224
640,3,1,3,4,3,1,3,15.55785436362778,-16.1713945734364,14.387412032754105,15.86211871941975,15.668238185521599,-16.351203428708818,14.346950959954974
641,2,2,3,2,2,2,4,-10.51372109503304,-9.919785533145328,15.064936429922701,-14.135532500264716,-14.40972337715175,-12.428976607929282,15.278665531216397
642,4,1,3,2,4,1,3,14.412685392254968,-14.590793347834923,13.29817782671742,-12.435113674777023,14.602363261980146,-14.749990424210838,12.663325220041601
643,2,4,1,3,4,1,1,-12.98249129918735,13.411404842856761,-13.793223656834769,9.039674989172212,13.520347299100115,-13.208082638695512,-12.41264927915379
644,4,3,1,0,4,2,1,11.433402002336953,10.112657221479664,-11.669995173512849,0.0,12.520446292073009,-11.537684294070996,-12.051606354509218
645,1,1,4,1,4,1,3,-15.684426707674088,-14.818297072887802,15.061745361617968,-15.001489190386666,13.54545057539156,-13.840430278068904,-5.452740363839249
646,0,0,4,1,4,1,0,0.0,0.0,13.430477754402808,-13.430477754402808,14.089140065457638,-14.089140065457638,0.0
647,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,3,2,2,3,2,4,1,11.84771535400582,-13.591451723596233,-11.897114464267183,13.077578751970533,-13.464526316239779,13.922206671115656,-14.238392400901049
649,3,1,2,4,2,3,2,13.09909831588312,-13.27150616510737,-10.177449091376477,13.506613517077533,-13.108748795386317,10.886608552338183,-12.800370298438347
650,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.662288853893722,-11.662288853893722
651,4,2,2,3,2,3,3,13.290186868359132,-11.753476384057546,-12.268243034923882,12.318910174861795,-12.609750044583985,11.71075240198134,11.135825561692533
652,2,2,2,3,2,4,1,-14.5531062551235,-12.527247605090123,-13.475899519725496,13.40846036321833,-13.011530823935177,14.961834898232084,-15.213097979506347
653,1,0,0,0,0,4,1,-10.591630677436246,0.0,0.0,0.0,0.0,13.063830314349124,-13.063830314349124
654,1,1,4,3,4,1,4,-11.210813373628232,-10.248429685395688,11.608938810904737,9.735698455846126,14.064723715023685,-14.04090011573735,13.19253240107111
655,1,0,0,0,0,0,0,-11.05433841565022,0.0,0.0,0.0,0.0,0.0,0.0
656,2,2,2,2,4,1,4,-10.195584684601872,-11.81203887732854,-10.941107572799718,-11.59115621647926,15.83385165565102,-15.84974995459129,12.495753487188203
657,1,3,3,1,2,4,3,-15.442331425897057,14.727664467354375,14.003543648629016,-15.307068545882899,-12.965118526891318,15.275599150536484,14.703536172014232
658,2,4,1,1,4,3,1,-9.938057251996822,13.225364081081052,-13.211936001072008,-12.61791761527527,12.465679203619487,11.688204989621896,-12.528776851749816
659,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.643312623232116
661,3,2,1,4,1,0,0,13.129448868187938,-12.141424363847342,-13.496257491805748,13.926115413413376,-13.980523296619582,0.0,0.0
662,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,3,1,3,3,2,3,2,13.364025029137965,-15.947027478715741,14.842464196512138,15.145474700357926,-15.04287172181584,14.222960689309671,-15.232215622465194
665,3,1,3,4,2,2,3,11.648948485348225,-12.750955147405637,11.40152723547106,12.739067365976485,-9.766728222376836,-12.211484523769224,12.49314359209891
666,0,0,0,4,4,1,1,0.0,0.0,0.0,11.994186978481604,13.527908334312494,-13.499230466157151,-12.117329147332645
667,1,4,1,1,4,2,2,-15.74313725498368,12.796709327446074,-12.597651228991117,-11.579006941399278,12.91356036513081,-11.0199476310538,-12.028636563299361
668,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,4,1,3,3,1,4,3,14.68143485142863,-14.727509680282546,12.211315016752486,11.664537237203271,-13.117341822108582,12.955854376270818,11.54353606291427
670,2,3,3,3,3,1,3,-13.29301100106939,10.153901345279236,11.272406119240514,13.320773733467101,13.17693581067842,-13.985785922658076,13.879231363107987
671,0,4,1,0,0,0,0,0.0,11.294386924720143,-11.294386924720143,0.0,0.0,0.0,0.0
672,2,1,4,1,4,1,4,-9.005601955946522,-11.66113051246992,13.073630893014824,-12.934000667611969,12.09938175199778,-12.395955242216878,13.4182658281152
673,2,3,2,4,2,1,3,-13.873172770508333,13.216840823989346,-12.410710381791235,14.812240953717136,-14.648606430372586,-14.120105920155778,12.30667905761715
674,3,2,3,2,1,1,4,12.42213212183708,-12.394252362657655,11.944640995947676,-12.815708635787972,-12.720154940803925,-10.859322578757052,13.47581123056693
675,4,4,2,2,1,4,1,10.299721209128327,12.450847619935464,-11.493044135643256,-9.758975593199873,-12.04268103587424,10.712475202303516,-10.712475202303516
676,4,1,4,1,4,2,1,15.782496891632828,-15.74628898431205,15.128668214743131,-15.043549235275375,14.435931772742517,-12.137104847549976,-14.166367495555782
677,1,1,4,3,4,1,4,-12.880212883119095,-11.754982648839832,10.518152661588942,10.415521025875178,12.254878703980948,-12.543814442120864,11.853133803102411
678,1,4,1,0,0,0,0,-9.89344557509295,10.466042310692629,-10.466042310692629,0.0,0.0,0.0,0.0
679,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,0,0,4,3,1,4,1,0.0,0.0,10.803324894354462,10.939275151665344,-11.56674625966673,11.300251971408972,-11.300251971408972
681,1,3,4,1,2,3,3,-14.312118023412538,12.758537006976763,14.525360539596118,-14.591384135317986,-12.390680607452731,12.771866386272,-8.35368866394337
682,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.849962525199098,-8.849962525199098
683,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,1,0,4,3,1,0,0,-13.797622278894023,0.0,12.851350305168056,12.99569945708818,-13.61927317142964,0.0,0.0
685,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,2,1,2,3,3,2,3,-13.31449436325771,-14.019669906622132,-11.558832673148098,10.418387984149001,12.112539506756901,-11.903694860070681,9.966429005433245
687,4,4,4,1,2,1,4,11.50194509119499,12.269262250812156,13.539287599306892,-13.728727056625074,-10.916529874469212,-11.819520679345228,11.447672253098164
688,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.881548068829757,-10.881548068829757
689,3,1,4,2,3,2,2,10.449522933624907,-13.434492989720182,11.86410257454249,-11.317946502085231,10.685541793802402,-10.40809022133174,-10.045843772891983
690,4,2,3,3,2,2,3,12.135412324626023,-11.012099586556921,8.72969466158663,10.494245753983131,-11.166933500034999,-10.22199439728779,10.807049353973472
691,3,4,1,4,4,1,1,13.792158485902394,15.00194527623178,-15.394972514407922,12.4315930074132,15.312574397288396,-15.329070187086836,-12.386336647359308
692,4,4,1,3,3,4,1,10.774166479263954,13.37672118036915,-13.409479553466575,10.308492018848078,9.450907066774782,13.018765505431048,-13.16118877885673
693,2,2,2,3,4,1,2,-13.371590789162424,-12.99754338649762,-11.303602666819202,14.05627266747578,15.26339452343597,-15.238058394280035,-13.053674551409152
694,1,3,3,1,4,1,4,-13.615567501426737,10.740627181438262,12.767209979836673,-13.387691990463116,14.785936357032146,-14.802210640046722,14.527018451796913
695,1,4,1,0,4,3,1,-12.375227812956824,13.957301142500949,-14.083734321984412,0.0,12.22498333428891,11.885017379070462,-12.762522735829394
696,1,4,4,1,3,1,4,-12.410563299273013,11.16672234589818,11.888030701814106,-11.914486876256706,9.791311999250594,-11.347018365073863,11.460744196038327
697,4,1,4,1,3,4,1,14.872242393095569,-14.854284958405403,13.796923733007873,-13.709056609185787,11.828736776425778,13.293880505162267,-13.755597039045918
698,2,1,4,4,2,3,1,-11.068095557419916,-11.85783926697498,9.756043513177746,12.725264466152373,-11.909494703366422,11.036377774288466,-12.433997159007824
699,3,1,0,0,0,0,0,11.959673787847962,-12.582619880778392,0.0,0.0,0.0,0.0,0.0
700,0,0,0,4,1,0,0,0.0,0.0,0.0,11.691908287794341,-11.691908287794341,0.0,0.0
701,1,4,1,3,3,2,3,-14.303807306510363,14.87372732934291,-14.974212251530213,13.208811846842613,12.216972126453348,-11.652669317092098,13.898604080611195
702,4,1,4,1,4,1,0,10.334811368853645,-10.334811368853645,11.008765092658313,-11.008765092658313,9.885304706752738,-9.885304706752738,0.0
703,3,3,1,1,4,3,1,11.692328413572218,11.906644195023006,-13.722493979642358,-13.172151654236332,13.408431098971642,12.839560535673133,-13.857059792206286
704,3,4,1,2,4,4,1,12.416162237972275,15.478550401129706,-15.613967466688333,-11.594504795445422,12.616077859521047,17.086114498531824,-17.08428914625856
705,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,1,4,1,4,1,3,1,-10.576363591850228,13.642945876658294,-13.642945876658294,13.319658061413259,-13.191524993250841,10.278684196655117,-11.536176362686264
707,4,1,4,2,1,4,3,14.279899772191463,-14.39487355774237,15.170805539945485,-11.790214913461474,-15.167483219753922,14.247164595869036,13.91852060803114
708,1,4,2,3,3,2,2,-15.663180813477888,13.460932504644155,-13.109454876393638,12.73945358962636,12.786623625737663,-12.606926874822218,-12.611290499607952
709,3,1,4,1,4,1,2,10.870568627804815,-12.977870610741096,13.540837402236608,-13.371104097988619,12.953992388968492,-13.113472194337001,-11.570295173968915
710,4,1,1,1,0,0,0,11.872023802208986,-11.414318019636289,-10.518166531202063,-9.655966153909699,0.0,0.0,0.0
711,3,4,2,2,1,4,1,10.00173392378851,14.401569796064846,-13.253813031081508,-12.984814640079687,-13.892295004744152,13.591874382223297,-13.553053431793527
712,2,3,3,3,1,4,1,-13.257651513596244,12.835583065353466,13.28688492974097,10.115419458504444,-13.864938889806163,14.20102306341341,-14.353294103056554
713,1,4,2,3,1,4,3,-14.227175586171564,13.660052205099538,-13.487469258615524,12.878177622350586,-13.607600226870431,12.767106579584782,11.670247957789217
714,1,2,1,4,1,4,3,-12.426892586389496,-9.364493264187061,-10.252955861009584,13.610429002246907,-13.610429002246907,11.306082819802281,11.310131598827226
715,4,2,3,1,2,1,4,14.388050855358026,-13.578597777823147,14.285436546779549,-14.477554346794902,-10.662928055473245,-13.752345568192457,14.707607229870757
716,1,3,4,1,4,4,1,-14.63398565078516,11.242491271196775,14.45878114645811,-14.554965238382232,11.971312915977384,14.393787209477365,-14.441986041028395
717,2,2,3,2,2,3,1,-13.651102903102156,-13.243776088950316,13.362179453429636,-10.683281946213377,-12.308181679731122,13.893150364399956,-14.383898167441208
718,4,1,4,3,1,4,1,13.272152934483683,-13.197521000444404,12.749750798246383,13.131521110233608,-13.28337101409877,13.506873785897042,-13.7981281089721
719,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,1,0,0,0,0,4,1,-9.205411689720474,0.0,0.0,0.0,0.0,10.758754947887663,-10.758754947887663
723,4,1,4,1,4,1,4,9.740130652729405,-9.740130652729405,11.629992030841741,-11.629992030841741,10.471566154071441,-10.471566154071441,11.289788362169665
724,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,13.041015685518953,-13.041015685518953
727,2,3,3,2,3,3,3,-12.564549847999787,13.412461113987924,11.94446578336116,-13.504624968648692,12.621002233591998,12.046495490168542,12.29648204917962
728,1,4,1,4,4,1,4,-12.756941610190516,12.328552661292937,-12.299367621751294,13.376421286947313,13.983983397596615,-14.237855540971207,13.836619565199403
729,1,4,2,1,4,1,4,-12.310839245382299,12.761105422974708,-7.293229221216909,-12.881779986306222,13.285602519408048,-13.134420532240668,13.563737859068977
730,4,1,1,0,4,3,1,12.58358617706804,-12.827010850704786,-11.182470481977273,0.0,11.26000806123223,10.609980328099336,-11.680045423901898
731,1,0,4,1,0,0,0,-12.894193157301189,0.0,13.279542750868897,-13.279542750868897,0.0,0.0,0.0
732,3,1,1,4,3,3,2,12.973466681007098,-13.555041399217213,-11.963803673311105,13.49624300702591,12.016347091930404,12.293263850956897,-13.276657641695245
733,4,2,3,1,4,1,1,13.474860806075137,-12.381258921213337,12.371005999470098,-13.515672031511238,13.058088536324028,-12.658813592252057,-12.327668055685773
734,1,4,1,4,1,4,2,-10.103293729102875,12.533178484797547,-12.533178484797547,11.812115072198486,-11.812115072198486,11.170890696629629,-10.363108284406358
735,4,2,1,3,3,3,1,14.751382489499136,-13.614335268778296,-14.478661028898,13.755174889324346,14.23315573063342,13.507324266480932,-15.178202791990325
736,4,2,1,4,2,3,2,15.784120133875307,-15.080387191898225,-15.306911652898801,15.439320930900083,-14.90751067065961,14.005148968588738,-14.253743267958733
737,0,0,0,4,1,4,1,0.0,0.0,0.0,11.081006246459308,-11.081006246459308,10.01935028692802,-10.01935028692802
738,4,1,0,0,0,0,4,11.971435684127762,-11.971435684127762,0.0,0.0,0.0,0.0,8.90882290770177
739,0,0,0,4,4,1,0,0.0,0.0,0.0,10.131692057178675,11.01196961544909,-11.358852683842805,0.0
740,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,4,1,0,0,0,0,0,11.467303193088915,-11.467303193088915,0.0,0.0,0.0,0.0,0.0
742,2,3,1,0,4,2,1,-12.595529916087937,11.561061293487905,-13.004989942844976,0.0,12.729537401019893,-10.517602379926098,-12.333715635619992
743,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.572662662067216,-11.572662662067216,0.0
744,4,1,0,0,0,0,4,11.991369774247357,-11.991369774247357,0.0,0.0,0.0,0.0,11.688205265031462
