CUSTNO,전체 분기 중요 카테고리 top_1,전체 분기 중요 카테고리 top_2
2571,[{'식품/생활_중가': 14944063.140997743}],[{'의류/이미용_중가': 8123474.839725517}]
2572,[{'의류/이미용_중가': 8700150.043882463}],[{'식품/생활_중가': 8594347.541070115}]
2573,[{'의류/이미용_중가': 16742842.936166069}],[{'가전/레저취미/멀티샵_중가': 10340714.035816394}]
2574,[{'의류/이미용_고가': 59972963.001691714}],[{'의류/이미용_중가': 39051413.48878843}]
2575,[{'가전/레저취미/멀티샵_고가': 37539742.954674}],[{'의류/이미용_고가': 32793841.162491895}]
2576,[{'식품/생활_중가': 6269047.834500705}],[{'의류/이미용_저가': 4371040.754847518}]
2577,[{'식품/생활_중가': 4117228.7212556023}],[{'식품/생활_고가': 2128129.664105592}]
2578,[{'의류/이미용_고가': 19360696.893735893}],[{'식품/생활_중가': 13335359.979627034}]
2579,[{'식품/생활_중가': 4205151.087410526}],[{'의류/이미용_중가': 1978864.3340991724}]
2580,[{'의류/이미용_고가': 29387068.417028613}],[{'의류/이미용_중가': 21247581.769601278}]
2581,[{'가전/레저취미/멀티샵_중가': 10531513.477045614}],[{'의류/이미용_중가': 8877487.310308663}]
2582,[{'식품/생활_중가': 4927842.947634107}],[{'식품/생활_고가': 2145026.507821479}]
2583,[{'식품/생활_중가': 11096925.481025806}],[{'의류/이미용_고가': 6170704.942127484}]
2584,[{'식품/생활_중가': 12364102.51152302}],[{'의류/이미용_저가': 3510620.5503837615}]
2585,[{'식품/생활_중가': 3571767.4920937344}],[{'가전/레저취미/멀티샵_저가': 2632666.0280447537}]
2586,[{'식품/생활_중가': 12179643.700287541}],[{'식품/생활_고가': 4796908.226432831}]
2587,[{'의류/이미용_중가': 12030757.752769243}],[{'침구/주방_고가': 9378629.379033329}]
2588,[{'식품/생활_중가': 5454974.687103501}],[{'식품/생활_저가': 3173462.8723598304}]
2589,[{'식품/생활_중가': 3952443.222635008}],[{'의류/이미용_저가': 1762457.7943547468}]
2590,[{'의류/이미용_중가': 15035875.376114106}],[{'의류/이미용_고가': 10549420.918612942}]
2591,[{'가구인테리어/잡화_고가': 114778005.93952048}],[{'의류/이미용_중가': 84206624.20708993}]
2592,[{'의류/이미용_중가': 47671998.30416179}],[{'가전/레저취미/멀티샵_중가': 7976540.339515345}]
2593,[{'의류/이미용_중가': 6777080.7903681025}],[{'가구인테리어/잡화_중가': 4808925.496618662}]
2594,[{'식품/생활_중가': 5506620.46297895}],[{'식품/생활_저가': 2456499.526694815}]
2595,[{'의류/이미용_중가': 19311369.06701099}],[{'식품/생활_중가': 5262792.244551981}]
2596,[{'식품/생활_중가': 5356385.214216758}],[{'식품/생활_저가': 1151273.1247245525}]
2597,[{'의류/이미용_중가': 11141300.138348565}],[{'가전/레저취미/멀티샵_중가': 5586630.54858705}]
2598,[{'가전/레저취미/멀티샵_고가': 59341137.72713949}],[{'의류/이미용_중가': 31491938.141398918}]
2599,[{'식품/생활_중가': 4930641.561651249}],[{'의류/이미용_저가': 1475145.4575598398}]
2600,[{'식품/생활_중가': 7797481.49816475}],[{'식품/생활_고가': 3948397.8819783158}]
2601,[{'의류/이미용_중가': 67186492.57920972}],[{'가전/레저취미/멀티샵_고가': 19385184.287797302}]
2602,[{'식품/생활_중가': 7001001.685942205}],[{'식품/생활_저가': 2596087.968297297}]
2603,[{'식품/생활_중가': 4183969.4115786077}],[{'의류/이미용_저가': 928529.2544445379}]
2604,[{'식품/생활_고가': 23139844.40558788}],[{'의류/이미용_고가': 19027477.396039452}]
2605,[{'식품/생활_중가': 5579305.041038024}],[{'의류/이미용_중가': 4833234.19681062}]
2606,[{'식품/생활_중가': 3232413.4539147955}],[{'의류/이미용_저가': 2020595.63205938}]
2607,[{'식품/생활_중가': 5860846.96870002}],[{'가구인테리어/잡화_중가': 2702028.138082598}]
2608,[{'의류/이미용_중가': 9943549.0404623}],[{'식품/생활_중가': 5560650.828945454}]
2609,[{'식품/생활_중가': 6665404.066709231}],[{'의류/이미용_저가': 3087168.1286138985}]
2610,[{'식품/생활_중가': 4091799.7921515936}],[{'식품/생활_고가': 2193754.329321713}]
2611,[{'식품/생활_중가': 12390545.966633134}],[{'식품/생활_저가': 2330142.018183561}]
2612,[{'의류/이미용_중가': 20908956.72999738}],[{'의류/이미용_고가': 20803503.04003059}]
2613,[{'의류/이미용_중가': 47761808.47669605}],[{'의류/이미용_고가': 12352876.75383172}]
2614,[{'식품/생활_중가': 3886604.9924046793}],[{'식품/생활_저가': 641707.3033034395}]
2615,[{'식품/생활_중가': 5509724.295963816}],[{'의류/이미용_중가': 5291946.1768669225}]
2616,[{'의류/이미용_고가': 15983204.71076863}],[{'의류/이미용_중가': 9257996.10566958}]
2617,[{'식품/생활_중가': 4611398.18495815}],[{'의류/이미용_중가': 2268871.693743304}]
2618,[{'식품/생활_중가': 15768945.056300886}],[{'의류/이미용_저가': 13180685.446189603}]
2619,[{'의류/이미용_고가': 26728702.208072405}],[{'가구인테리어/잡화_중가': 11093178.717138104}]
2620,[{'식품/생활_중가': 7027267.699535446}],[{'식품/생활_고가': 1722700.04323264}]
2622,[{'식품/생활_중가': 8099061.147470614}],[{'식품/생활_고가': 3840833.10090584}]
2623,[{'침구/주방_고가': 59847427.67433921}],[{'가구인테리어/잡화_고가': 15633386.860196367}]
2624,[{'의류/이미용_중가': 6214924.996705072}],[{'가전/레저취미/멀티샵_중가': 3447453.4909739816}]
2625,[{'가구인테리어/잡화_고가': 35360498.254401356}],[{'의류/이미용_중가': 9014900.097866824}]
2626,[{'의류/이미용_중가': 27943612.17032314}],[{'가구인테리어/잡화_고가': 13766381.491272146}]
2627,[{'식품/생활_중가': 4718403.701130075}],[{'의류/이미용_중가': 3167988.268192451}]
2628,[{'식품/생활_중가': 5624472.826335173}],[{'식품/생활_저가': 2400258.9970201678}]
2629,[{'식품/생활_중가': 14224045.212270029}],[{'의류/이미용_고가': 11510688.612229388}]
2630,[{'식품/생활_중가': 4728678.694905965}],[{'식품/생활_저가': 2036655.871554547}]
2631,[{'식품/생활_고가': 5808417.2651658505}],[{'식품/생활_중가': 5804439.538964366}]
2632,[{'식품/생활_고가': 14778545.247611808}],[{'의류/이미용_중가': 9322820.935089437}]
2633,[{'의류/이미용_중가': 8365708.721900663}],[{'식품/생활_중가': 5022675.594899613}]
2634,[{'의류/이미용_중가': 18069134.51066458}],[{'의류/이미용_고가': 6268851.509859488}]
2635,[{'식품/생활_중가': 6836881.002917155}],[{'의류/이미용_저가': 3312542.238927157}]
2636,[{'식품/생활_중가': 5605834.589053905}],[{'의류/이미용_중가': 3019198.0710202036}]
2637,[{'식품/생활_중가': 6683291.149592447}],[{'의류/이미용_저가': 1507758.0280863584}]
2638,[{'의류/이미용_중가': 51018433.895631015}],[{'가전/레저취미/멀티샵_고가': 17433344.800148126}]
2639,[{'의류/이미용_중가': 12728314.570409251}],[{'의류/이미용_고가': 4166091.589478395}]
2640,[{'침구/주방_고가': 156523800.3363078}],[{'가구인테리어/잡화_고가': 33679378.55174047}]
2641,[{'의류/이미용_중가': 22457250.48986798}],[{'의류/이미용_고가': 16691828.768341474}]
2642,[{'의류/이미용_중가': 28051762.246988617}],[{'가구인테리어/잡화_고가': 15267931.289530516}]
2643,[{'가전/레저취미/멀티샵_고가': 91232383.3521928}],[{'의류/이미용_고가': 80632885.40216416}]
2644,[{'의류/이미용_중가': 17787835.78389544}],[{'식품/생활_중가': 8727258.713310964}]
2645,[{'의류/이미용_중가': 20617020.5587144}],[{'의류/이미용_고가': 16821740.42470043}]
2646,[{'가구인테리어/잡화_고가': 10577117.70090183}],[{'의류/이미용_중가': 7422446.174990427}]
2647,[{'식품/생활_중가': 8745991.249383116}],[{'식품/생활_저가': 3860457.1628990937}]
2648,[{'의류/이미용_고가': 7333036.309900187}],[{'식품/생활_중가': 5315819.576133244}]
2649,[{'의류/이미용_중가': 9345388.108482718}],[{'식품/생활_중가': 6214299.051519242}]
2650,[{'식품/생활_중가': 4451372.470320262}],[{'의류/이미용_저가': 2271481.3132302687}]
2651,[{'식품/생활_중가': 10184053.459117375}],[{'식품/생활_고가': 3100443.002641357}]
2652,[{'의류/이미용_중가': 32529639.7709544}],[{'식품/생활_중가': 9386129.105035923}]
2653,[{'의류/이미용_중가': 20992869.888393342}],[{'의류/이미용_고가': 16060808.604644185}]
2654,[{'의류/이미용_중가': 19421025.846407674}],[{'식품/생활_중가': 9680554.604910959}]
2655,[{'가전/레저취미/멀티샵_고가': 33299709.629778214}],[{'가구인테리어/잡화_고가': 27186148.220423788}]
2656,[{'의류/이미용_중가': 17690075.34812666}],[{'의류/이미용_고가': 15378778.967484402}]
2657,[{'의류/이미용_중가': 253701232.85600197}],[{'가구인테리어/잡화_고가': 136525314.2659006}]
2658,[{'식품/생활_중가': 8694044.044396058}],[{'식품/생활_저가': 2653683.955908381}]
2659,[{'식품/생활_중가': 6338653.01710864}],[{'의류/이미용_저가': 1780341.739584853}]
2660,[{'의류/이미용_중가': 19209226.146168463}],[{'의류/이미용_고가': 18266770.48003652}]
2661,[{'가구인테리어/잡화_고가': 20753733.37464364}],[{'식품/생활_중가': 17290819.433077455}]
2662,[{'의류/이미용_중가': 42737083.43195357}],[{'가전/레저취미/멀티샵_고가': 39684554.9239035}]
2663,[{'의류/이미용_고가': 11180677.878089404}],[{'의류/이미용_중가': 10206805.279699866}]
2664,[{'의류/이미용_중가': 9343565.636274919}],[{'식품/생활_중가': 6595041.023217531}]
2665,[{'의류/이미용_중가': 50826785.074546345}],[{'가전/레저취미/멀티샵_고가': 33673073.332326464}]
2666,[{'의류/이미용_저가': 6590936.918434869}],[{'식품/생활_중가': 6158546.855950888}]
2667,[{'의류/이미용_중가': 7666694.908852214}],[{'식품/생활_중가': 4828485.21915532}]
2668,[{'식품/생활_중가': 3863137.1259793947}],[{'식품/생활_저가': 2029019.7165928741}]
2669,[{'식품/생활_중가': 4730866.451584078}],[{'식품/생활_고가': 4446932.612513642}]
2670,[{'식품/생활_중가': 11369451.767603409}],[{'식품/생활_저가': 4737353.406254204}]
2671,[{'의류/이미용_중가': 36279513.89829259}],[{'가구인테리어/잡화_고가': 27557810.011760816}]
2672,[{'식품/생활_중가': 2821613.0934386705}],[{'의류/이미용_저가': 2568867.9414567873}]
2673,[{'식품/생활_중가': 5587327.715597799}],[{'가전/레저취미/멀티샵_중가': 4086520.8068187297}]
2674,[{'식품/생활_중가': 4635558.268376096}],[{'식품/생활_저가': 2005164.173003476}]
2675,[{'의류/이미용_중가': 107361180.98207122}],[{'의류/이미용_고가': 23188311.41294761}]
2676,[{'식품/생활_중가': 5851094.4671068145}],[{'식품/생활_저가': 3074748.0513586905}]
2677,[{'가구인테리어/잡화_고가': 41716899.2864761}],[{'의류/이미용_중가': 25794992.020990107}]
2678,[{'식품/생활_중가': 6630513.291015966}],[{'의류/이미용_중가': 2478252.630146594}]
2679,[{'의류/이미용_중가': 72350967.17941436}],[{'가구인테리어/잡화_고가': 50705907.84243715}]
2680,[{'의류/이미용_저가': 2449801.236292894}],[{'식품/생활_중가': 1775173.9789600177}]
2681,[{'식품/생활_중가': 7637064.223956373}],[{'식품/생활_저가': 1353741.76935035}]
2682,[{'의류/이미용_중가': 9931224.98521625}],[{'식품/생활_고가': 5331868.053453721}]
2683,[{'의류/이미용_중가': 21972941.957009867}],[{'식품/생활_중가': 7997107.496450768}]
2684,[{'식품/생활_중가': 4606887.0698229475}],[{'의류/이미용_고가': 3017882.4114209837}]
2685,[{'의류/이미용_중가': 8105109.068449088}],[{'식품/생활_중가': 5949982.415415957}]
2686,[{'의류/이미용_중가': 48990669.49803366}],[{'의류/이미용_고가': 36832683.406802095}]
2687,[{'가전/레저취미/멀티샵_저가': 11068084.582263552}],[{'식품/생활_중가': 4967145.724217843}]
2688,[{'식품/생활_중가': 6312178.287861821}],[{'식품/생활_저가': 4305227.66314184}]
2689,[{'식품/생활_중가': 6494909.688302023}],[{'식품/생활_저가': 2802923.8184502386}]
2690,[{'의류/이미용_중가': 14574150.215961348}],[{'의류/이미용_고가': 12800948.901506368}]
2691,[{'의류/이미용_중가': 103845481.72217987}],[{'식품/생활_중가': 4092980.1399729266}]
2692,[{'의류/이미용_중가': 54911423.880440414}],[{'의류/이미용_고가': 22978066.474538088}]
2693,[{'가구인테리어/잡화_고가': 7760338.66592046}],[{'식품/생활_중가': 4470062.457491334}]
2694,[{'의류/이미용_고가': 16861556.635456614}],[{'의류/이미용_중가': 16433410.377481053}]
2695,[{'의류/이미용_중가': 32722284.629451577}],[{'의류/이미용_고가': 17181918.150019307}]
2696,[{'의류/이미용_중가': 5550328.631776702}],[{'식품/생활_고가': 1884887.5085033264}]
2697,[{'의류/이미용_중가': 23629027.445644118}],[{'가구인테리어/잡화_고가': 5504190.982712938}]
2698,[{'의류/이미용_중가': 8735461.716084214}],[{'식품/생활_중가': 3828420.679696118}]
2699,[{'식품/생활_중가': 7087514.896579483}],[{'식품/생활_저가': 2469451.2458967767}]
2700,[{'의류/이미용_저가': 9656200.858992115}],[{'의류/이미용_중가': 7001142.255229702}]
2701,[{'식품/생활_중가': 7811486.211002252}],[{'식품/생활_저가': 1927541.4962667017}]
2702,[{'식품/생활_중가': 4309047.878256198}],[{'의류/이미용_중가': 3516820.5942294286}]
2703,[{'식품/생활_중가': 9482642.578262495}],[{'식품/생활_저가': 3387313.591993678}]
2704,[{'식품/생활_중가': 5065296.788472207}],[{'식품/생활_저가': 1746328.257412549}]
2705,[{'식품/생활_중가': 4590731.270375467}],[{'가구인테리어/잡화_저가': 1564313.2059764736}]
2706,[{'의류/이미용_고가': 11511642.419767253}],[{'의류/이미용_중가': 9050504.217664363}]
2707,[{'의류/이미용_중가': 25253453.481868453}],[{'가구인테리어/잡화_중가': 7175750.710163365}]
2708,[{'식품/생활_중가': 7126391.402499313}],[{'가전/레저취미/멀티샵_중가': 5911815.559426374}]
2710,[{'식품/생활_중가': 5942843.214637753}],[{'의류/이미용_중가': 5067409.369276115}]
2711,[{'식품/생활_중가': 10248487.54566879}],[{'식품/생활_고가': 3573215.1053989176}]
2712,[{'식품/생활_중가': 7312370.9131565625}],[{'식품/생활_고가': 5232670.045415728}]
2713,[{'식품/생활_중가': 6869499.053245346}],[{'식품/생활_고가': 4981363.186571686}]
2714,[{'식품/생활_중가': 4351215.666163784}],[{'식품/생활_고가': 988624.2091539828}]
2715,[{'식품/생활_중가': 4470830.923851701}],[{'의류/이미용_고가': 3933049.181744618}]
2716,[{'가구인테리어/잡화_고가': 106431025.96604583}],[{'의류/이미용_중가': 23496713.859078947}]
2717,[{'의류/이미용_중가': 31038614.049331866}],[{'가구인테리어/잡화_고가': 8406586.994491383}]
2718,[{'가구인테리어/잡화_고가': 5290089.983628768}],[{'식품/생활_중가': 3788478.712646686}]
2719,[{'식품/생활_중가': 8876444.24094562}],[{'식품/생활_고가': 1723318.0228795737}]
2720,[{'의류/이미용_중가': 70279274.87626942}],[{'가전/레저취미/멀티샵_고가': 17077136.942367774}]
2721,[{'식품/생활_중가': 22198573.6014492}],[{'식품/생활_저가': 3440158.180196341}]
2722,[{'식품/생활_중가': 6014370.131551841}],[{'의류/이미용_중가': 5835329.218230617}]
2723,[{'식품/생활_고가': 6048947.175254913}],[{'식품/생활_중가': 5195973.293739164}]
2724,[{'의류/이미용_중가': 25146028.02394803}],[{'가구인테리어/잡화_고가': 3437117.506916357}]
2725,[{'의류/이미용_중가': 38907778.28617786}],[{'가구인테리어/잡화_고가': 16547541.119360972}]
2726,[{'의류/이미용_중가': 77682101.1979067}],[{'의류/이미용_고가': 28346578.784482222}]
2727,[{'식품/생활_중가': 10180235.310759764}],[{'식품/생활_고가': 2985275.024485389}]
2728,[{'식품/생활_중가': 3598058.274396716}],[{'식품/생활_저가': 1486878.852591224}]
2729,[{'식품/생활_중가': 4555590.485561526}],[{'의류/이미용_중가': 4473876.025973028}]
2730,[{'의류/이미용_중가': 4977324.187139328}],[{'식품/생활_중가': 3991030.020047609}]
2731,[{'의류/이미용_중가': 3497017.225607666}],[{'식품/생활_중가': 3080692.415356994}]
2732,[{'식품/생활_중가': 4848807.939951944}],[{'의류/이미용_중가': 2186108.1336189425}]
2733,[{'식품/생활_중가': 9137899.203476284}],[{'식품/생활_고가': 2588315.8152129464}]
2734,[{'식품/생활_중가': 6126704.751101655}],[{'의류/이미용_저가': 2339933.6330504864}]
2735,[{'의류/이미용_중가': 35568898.870419845}],[{'의류/이미용_고가': 16481591.829459585}]
2736,[{'식품/생활_중가': 3832577.139030968}],[{'의류/이미용_고가': 1598269.1434667076}]
2737,[{'침구/주방_고가': 9080468.940777987}],[{'침구/주방_중가': 5246233.798890436}]
2738,[{'식품/생활_중가': 20961497.03380153}],[{'식품/생활_저가': 6186977.999255816}]
2739,[{'식품/생활_중가': 7550804.48778116}],[{'식품/생활_고가': 3317708.533670726}]
2740,[{'식품/생활_중가': 5231376.6074252445}],[{'가전/레저취미/멀티샵_중가': 2654966.869227042}]
2741,[{'가구인테리어/잡화_고가': 20386569.696499776}],[{'의류/이미용_중가': 16824849.345367406}]
2742,[{'가구인테리어/잡화_고가': 7701931.3128446555}],[{'가구인테리어/잡화_중가': 5833651.072157189}]
2743,[{'식품/생활_중가': 7344140.935401549}],[{'식품/생활_저가': 3352444.130755562}]
2744,[{'식품/생활_중가': 3285045.310660023}],[{'의류/이미용_중가': 2215486.590666153}]
2745,[{'식품/생활_중가': 6627045.974934136}],[{'의류/이미용_중가': 3453384.823045253}]
2746,[{'식품/생활_중가': 4017090.0023491927}],[{'의류/이미용_저가': 2031211.9235666604}]
2747,[{'식품/생활_중가': 4984744.944332844}],[{'의류/이미용_저가': 2572893.2979282876}]
2748,[{'식품/생활_중가': 3880114.459768683}],[{'식품/생활_저가': 2070105.8082339917}]
2749,[{'가전/레저취미/멀티샵_중가': 6906300.1126743145}],[{'식품/생활_고가': 6815200.772092734}]
2750,[{'식품/생활_중가': 5134797.598027007}],[{'식품/생활_고가': 3002125.997068926}]
2751,[{'의류/이미용_고가': 6781793.811069218}],[{'식품/생활_중가': 4773608.818957496}]
2752,[{'식품/생활_중가': 3265463.158812781}],[{'가구인테리어/잡화_중가': 1481823.8398633704}]
2753,[{'의류/이미용_중가': 48757287.95724533}],[{'의류/이미용_고가': 14629332.788387874}]
2754,[{'식품/생활_중가': 11578689.623043787}],[{'의류/이미용_중가': 5616145.056548957}]
2755,[{'식품/생활_중가': 5675388.956333449}],[{'의류/이미용_저가': 1676370.427873257}]
2756,[{'의류/이미용_중가': 21969789.932929046}],[{'의류/이미용_고가': 15789876.60327089}]
2757,[{'가구인테리어/잡화_저가': 3440878.956623355}],[{'의류/이미용_중가': 3092191.5154736214}]
2758,[{'식품/생활_고가': 8129919.098394913}],[{'식품/생활_중가': 4842221.565123764}]
2759,[{'식품/생활_고가': 13283272.988446321}],[{'식품/생활_중가': 12359476.82071823}]
2760,[{'가구인테리어/잡화_고가': 32366921.08749716}],[{'의류/이미용_중가': 11409734.862000583}]
2761,[{'가구인테리어/잡화_고가': 100880248.99789503}],[{'의류/이미용_중가': 23914235.95071545}]
2762,[{'식품/생활_중가': 4786804.067863056}],[{'교육문화/아동_중가': 2815141.397153065}]
2763,[{'의류/이미용_중가': 27004139.276537564}],[{'가구인테리어/잡화_고가': 21799310.355973214}]
2764,[{'식품/생활_중가': 5207084.130018018}],[{'식품/생활_저가': 1398133.7408109482}]
2765,[{'식품/생활_중가': 4400924.23417754}],[{'식품/생활_저가': 1072828.5363093896}]
2766,[{'식품/생활_중가': 6687113.385015394}],[{'식품/생활_고가': 3231237.2363298647}]
2767,[{'가구인테리어/잡화_고가': 12695528.56272744}],[{'의류/이미용_중가': 11361196.670616291}]
2768,[{'의류/이미용_중가': 9121177.02942415}],[{'식품/생활_중가': 2656931.976118792}]
2769,[{'식품/생활_중가': 8255564.778402987}],[{'식품/생활_저가': 3788351.90380383}]
2770,[{'의류/이미용_중가': 5351407.307987191}],[{'식품/생활_중가': 4495414.3178886715}]
2771,[{'의류/이미용_고가': 8255142.317439429}],[{'의류/이미용_중가': 4931998.847782476}]
2772,[{'식품/생활_중가': 3769439.4065431952}],[{'의류/이미용_중가': 3660270.8399959765}]
2774,[{'식품/생활_고가': 27583767.371763613}],[{'가구인테리어/잡화_고가': 11076359.961461281}]
2775,[{'의류/이미용_중가': 3822274.27815855}],[{'식품/생활_고가': 3092722.7706021345}]
2776,[{'의류/이미용_중가': 31391117.158985645}],[{'가구인테리어/잡화_고가': 15562500.650108723}]
2777,[{'침구/주방_고가': 8392867.001216058}],[{'식품/생활_중가': 8365241.145372134}]
2778,[{'의류/이미용_중가': 15997873.300014231}],[{'의류/이미용_고가': 6916658.6720270915}]
2779,[{'의류/이미용_고가': 30642373.562159643}],[{'식품/생활_중가': 28613553.958820805}]
2780,[{'의류/이미용_중가': 4280751.577206335}],[{'식품/생활_중가': 3507460.864534307}]
2781,[{'의류/이미용_중가': 29460196.569513734}],[{'가구인테리어/잡화_고가': 19988058.457441416}]
2782,[{'의류/이미용_중가': 18939253.157016963}],[{'의류/이미용_고가': 4152426.100642184}]
2783,[{'식품/생활_중가': 4001002.216828691}],[{'가구인테리어/잡화_중가': 2723420.345259513}]
2784,[{'식품/생활_중가': 7132198.427936384}],[{'식품/생활_저가': 2619280.5726471096}]
2785,[{'식품/생활_중가': 3425995.7973113945}],[{'식품/생활_고가': 2954075.6264600353}]
2786,[{'의류/이미용_중가': 23815339.28290824}],[{'의류/이미용_고가': 18901330.012031365}]
2787,[{'식품/생활_중가': 7610472.936897583}],[{'식품/생활_고가': 3506360.848980776}]
2788,[{'식품/생활_중가': 4298505.805572831}],[{'식품/생활_저가': 1303519.2098655927}]
2789,[{'식품/생활_중가': 7182834.415487013}],[{'식품/생활_저가': 1746502.0330160642}]
2790,[{'식품/생활_중가': 3459571.2811488807}],[{'의류/이미용_저가': 2006230.5923297447}]
2791,[{'가구인테리어/잡화_고가': 42267058.70760795}],[{'의류/이미용_중가': 17366187.124964118}]
2792,[{'식품/생활_중가': 3395631.6913201152}],[{'식품/생활_저가': 1228271.9725773218}]
2793,[{'식품/생활_중가': 6176385.854514763}],[{'의류/이미용_저가': 4192963.553956307}]
2794,[{'의류/이미용_중가': 16576737.477700982}],[{'식품/생활_중가': 5815604.172469339}]
2795,[{'식품/생활_중가': 5967093.504829795}],[{'침구/주방_고가': 3001075.286368656}]
2796,[{'의류/이미용_중가': 50420503.038336456}],[{'가전/레저취미/멀티샵_중가': 13647348.708021276}]
2797,[{'의류/이미용_고가': 12650309.666945769}],[{'의류/이미용_중가': 8612750.688478442}]
2798,[{'식품/생활_중가': 3905391.8306943877}],[{'의류/이미용_중가': 2169864.7987718885}]
2799,[{'식품/생활_중가': 4023261.9688417837}],[{'식품/생활_저가': 2592985.7141331597}]
2800,[{'의류/이미용_중가': 13982439.386437576}],[{'가구인테리어/잡화_고가': 13725590.578846972}]
2801,[{'식품/생활_고가': 26430614.980415784}],[{'식품/생활_중가': 2837983.974746106}]
2802,[{'식품/생활_중가': 7237430.559118317}],[{'의류/이미용_중가': 5798685.502534205}]
2803,[{'식품/생활_중가': 2148784.1432168246}],[{'식품/생활_저가': 607514.748158731}]
2804,[{'의류/이미용_고가': 10962199.590554476}],[{'의류/이미용_중가': 9688657.651630202}]
2805,[{'식품/생활_중가': 6669263.504233535}],[{'의류/이미용_중가': 6078793.957005817}]
2806,[{'식품/생활_중가': 8994312.758084029}],[{'식품/생활_고가': 7873613.475651202}]
2807,[{'식품/생활_중가': 7126022.223058662}],[{'의류/이미용_중가': 4220765.425813333}]
2808,[{'가전/레저취미/멀티샵_중가': 9684229.378858939}],[{'의류/이미용_중가': 5706538.390348467}]
2809,[{'의류/이미용_중가': 18417548.59580116}],[{'가전/레저취미/멀티샵_고가': 13346854.362991486}]
2810,[{'가구인테리어/잡화_고가': 39331348.59871637}],[{'식품/생활_고가': 10589157.136696594}]
2811,[{'의류/이미용_중가': 10630006.494845506}],[{'가구인테리어/잡화_중가': 4923002.017547609}]
2812,[{'의류/이미용_중가': 27437964.19421521}],[{'의류/이미용_고가': 13123386.305255765}]
2813,[{'식품/생활_중가': 7487256.238374767}],[{'식품/생활_저가': 2683854.3320921697}]
2814,[{'식품/생활_중가': 4569292.811193561}],[{'식품/생활_저가': 2230304.597242468}]
2815,[{'식품/생활_중가': 3860273.0595468762}],[{'의류/이미용_저가': 3734620.888813092}]
2816,[{'식품/생활_중가': 5888579.287130419}],[{'식품/생활_고가': 1835696.27410926}]
2817,[{'의류/이미용_중가': 5780232.552849181}],[{'식품/생활_중가': 3953851.342121444}]
2818,[{'의류/이미용_중가': 23562105.40019013}],[{'가구인테리어/잡화_고가': 22253581.00061682}]
2819,[{'의류/이미용_중가': 48751000.43143461}],[{'가구인테리어/잡화_고가': 19783901.33517724}]
2820,[{'의류/이미용_중가': 19035790.964671955}],[{'가구인테리어/잡화_고가': 7546878.715575159}]
2821,[{'가전/레저취미/멀티샵_고가': 44477176.20492355}],[{'의류/이미용_고가': 34532427.85706425}]
2822,[{'의류/이미용_중가': 10501735.927001985}],[{'식품/생활_중가': 6750161.620694804}]
2823,[{'의류/이미용_중가': 20258239.644077457}],[{'의류/이미용_고가': 8372058.443096284}]
2824,[{'식품/생활_중가': 9270160.770844622}],[{'의류/이미용_중가': 2515855.404043012}]
2825,[{'식품/생활_중가': 6614867.703351646}],[{'의류/이미용_중가': 1683227.2731529055}]
2826,[{'의류/이미용_중가': 22543264.98732803}],[{'식품/생활_중가': 8736429.649676772}]
2827,[{'식품/생활_중가': 10666935.437369037}],[{'식품/생활_저가': 3629970.947625515}]
2828,[{'식품/생활_중가': 15128547.72076307}],[{'의류/이미용_중가': 9795857.274253108}]
2829,[{'가구인테리어/잡화_고가': 10873022.651770608}],[{'의류/이미용_중가': 8871094.572664103}]
2830,[{'가구인테리어/잡화_중가': 8263301.3586445125}],[{'의류/이미용_중가': 7242942.0229668105}]
2831,[{'식품/생활_중가': 9144594.716689818}],[{'의류/이미용_저가': 2614418.376806337}]
2832,[{'의류/이미용_중가': 11572767.566232134}],[{'식품/생활_중가': 3624459.125894515}]
2833,[{'식품/생활_중가': 3648279.6860672547}],[{'식품/생활_고가': 2603405.007716772}]
2834,[{'의류/이미용_중가': 47176756.74308971}],[{'의류/이미용_고가': 32254161.383833855}]
2835,[{'식품/생활_중가': 8096855.868799369}],[{'식품/생활_고가': 2204687.5260872846}]
2836,[{'의류/이미용_중가': 38694558.768134065}],[{'의류/이미용_고가': 27633587.572430413}]
2837,[{'가구인테리어/잡화_중가': 5444703.118063235}],[{'식품/생활_중가': 5142688.810845214}]
2838,[{'의류/이미용_중가': 9409089.222314171}],[{'식품/생활_고가': 5072540.1031949585}]
2839,[{'식품/생활_중가': 6505014.456873771}],[{'식품/생활_저가': 1345384.7096934428}]
2840,[{'식품/생활_고가': 6391034.538620938}],[{'식품/생활_중가': 4971933.009886245}]
2841,[{'식품/생활_중가': 5557180.873549844}],[{'식품/생활_저가': 2714465.7575165783}]
2842,[{'식품/생활_중가': 5430826.568349498}],[{'가전/레저취미/멀티샵_고가': 3501355.420379989}]
2843,[{'의류/이미용_중가': 8423215.951318767}],[{'식품/생활_중가': 6703075.553126428}]
2844,[{'식품/생활_중가': 6824049.484772115}],[{'식품/생활_고가': 1798424.7672990307}]
2845,[{'의류/이미용_중가': 22087517.364877604}],[{'의류/이미용_고가': 8164532.828098157}]
2846,[{'의류/이미용_중가': 15714120.048476163}],[{'가구인테리어/잡화_고가': 13990546.522958204}]
2847,[{'식품/생활_고가': 17589372.499234684}],[{'식품/생활_중가': 8605916.049188398}]
2848,[{'식품/생활_중가': 6876186.846467188}],[{'의류/이미용_중가': 1279977.3294713355}]
