CUSTNO,Count_전체 분기 중요 카테고리 top_1,Count_전체 분기 중요 카테고리 top_2
2549,[{'Frequency_식품/생활_저가': 1497.8844802757735}],[{'Frequency_식품/생활_중가': 743.6986154337484}]
2550,[{'Frequency_식품/생활_중가': 617.0307268766383}],[{'Frequency_식품/생활_저가': 434.3742485248605}]
2551,[{'Frequency_식품/생활_중가': 691.4880426070117}],[{'Frequency_식품/생활_저가': 428.60495061808734}]
2552,[{'Frequency_식품/생활_중가': 415.81909106057043}],[{'Frequency_의류/이미용_중가': 226.01741186830913}]
2553,[{'Frequency_식품/생활_중가': 482.7394647358688}],[{'Frequency_식품/생활_고가': 92.90386876536991}]
2554,[{'Frequency_식품/생활_중가': 386.5053459131504}],[{'Frequency_식품/생활_저가': 172.27681696540148}]
2555,[{'Frequency_식품/생활_중가': 529.8568192487378}],[{'Frequency_식품/생활_저가': 296.51334293196896}]
2556,[{'Frequency_식품/생활_중가': 423.1074269692581}],[{'Frequency_의류/이미용_중가': 62.22189315883465}]
2557,[{'Frequency_식품/생활_중가': 395.85072102341115}],[{'Frequency_의류/이미용_중가': 80.13582734012893}]
2558,[{'Frequency_식품/생활_중가': 675.0686386453191}],[{'Frequency_식품/생활_고가': 351.8790928686674}]
2559,[{'Frequency_식품/생활_중가': 371.8409202509583}],[{'Frequency_식품/생활_고가': 170.2901036365829}]
2560,[{'Frequency_식품/생활_저가': 1098.028749001589}],[{'Frequency_식품/생활_중가': 900.6819686103382}]
2561,[{'Frequency_식품/생활_중가': 574.0765352641669}],[{'Frequency_식품/생활_저가': 284.85628220429425}]
2562,[{'Frequency_식품/생활_중가': 875.665516538731}],[{'Frequency_식품/생활_저가': 391.4817666964535}]
2563,[{'Frequency_식품/생활_중가': 520.38138060396}],[{'Frequency_식품/생활_저가': 385.94055170755934}]
2564,[{'Frequency_식품/생활_중가': 966.3766155799352}],[{'Frequency_식품/생활_저가': 528.7375956338129}]
2565,[{'Frequency_식품/생활_중가': 829.0978016144121}],[{'Frequency_식품/생활_저가': 570.4135014776055}]
2566,[{'Frequency_식품/생활_중가': 771.0953157894583}],[{'Frequency_식품/생활_저가': 548.7898533923112}]
2567,[{'Frequency_식품/생활_중가': 732.257787785413}],[{'Frequency_식품/생활_저가': 440.6956411893655}]
2568,[{'Frequency_식품/생활_중가': 814.5203052155875}],[{'Frequency_식품/생활_저가': 585.4328799446283}]
2569,[{'Frequency_식품/생활_중가': 604.5639592659663}],[{'Frequency_식품/생활_고가': 104.21213722802818}]
2570,[{'Frequency_식품/생활_중가': 842.5148578929193}],[{'Frequency_식품/생활_저가': 136.67160343157286}]
2571,[{'Frequency_식품/생활_중가': 1791.6273285278285}],[{'Frequency_식품/생활_저가': 925.9112448521885}]
2572,[{'Frequency_식품/생활_중가': 1074.4758291827497}],[{'Frequency_식품/생활_고가': 451.34268176443356}]
2573,[{'Frequency_식품/생활_중가': 340.28525461110866}],[{'Frequency_식품/생활_저가': 67.75408338401499}]
2574,[{'Frequency_식품/생활_중가': 485.21623503155087}],[{'Frequency_식품/생활_저가': 265.228003816192}]
2575,[{'Frequency_식품/생활_중가': 345.33691944839603}],[{'Frequency_식품/생활_고가': 109.54930846992329}]
2576,[{'Frequency_식품/생활_중가': 885.5023821723025}],[{'Frequency_식품/생활_저가': 703.282936985476}]
2577,[{'Frequency_식품/생활_중가': 365.2174544312439}],[{'Frequency_식품/생활_저가': 148.88089190902087}]
2578,[{'Frequency_식품/생활_중가': 940.028151351976}],[{'Frequency_식품/생활_고가': 231.62678136164564}]
2579,[{'Frequency_식품/생활_중가': 727.2596322052826}],[{'Frequency_식품/생활_저가': 702.6893221264703}]
2580,[{'Frequency_의류/이미용_중가': 111.0243043377325}],[{'Frequency_식품/생활_중가': 105.26346101859485}]
2581,[{'Frequency_식품/생활_중가': 195.87136263752868}],[{'Frequency_의류/이미용_중가': 104.71521351289891}]
2582,[{'Frequency_식품/생활_저가': 559.4332997632068}],[{'Frequency_식품/생활_중가': 513.1053195263696}]
2583,[{'Frequency_식품/생활_중가': 1016.0642669759775}],[{'Frequency_식품/생활_고가': 268.2923979619683}]
2584,[{'Frequency_식품/생활_중가': 1778.879156687563}],[{'Frequency_식품/생활_저가': 742.027127279834}]
2585,[{'Frequency_식품/생활_중가': 615.8518795132093}],[{'Frequency_식품/생활_저가': 332.4662083889439}]
2586,[{'Frequency_식품/생활_중가': 1247.736934537026}],[{'Frequency_식품/생활_저가': 737.792527296761}]
2587,[{'Frequency_식품/생활_중가': 499.1354386736522}],[{'Frequency_식품/생활_저가': 237.41256371026668}]
2588,[{'Frequency_식품/생활_중가': 781.6179046388786}],[{'Frequency_식품/생활_저가': 573.4633396622572}]
2589,[{'Frequency_식품/생활_중가': 512.2456916875618}],[{'Frequency_식품/생활_저가': 305.0744141232477}]
2590,[{'Frequency_식품/생활_중가': 1236.5817359481555}],[{'Frequency_식품/생활_저가': 710.2138149893792}]
2591,[{'Frequency_식품/생활_중가': 472.53232069218234}],[{'Frequency_식품/생활_저가': 247.11816801696557}]
2592,[{'Frequency_의류/이미용_중가': 249.23609666807303}],[{'Frequency_식품/생활_중가': 184.45787690818474}]
2593,[{'Frequency_식품/생활_중가': 132.71783881454084}],[{'Frequency_가구인테리어/잡화_저가': 111.28339616514798}]
2594,[{'Frequency_식품/생활_저가': 903.1488341047566}],[{'Frequency_식품/생활_중가': 745.7218096037479}]
2595,[{'Frequency_식품/생활_중가': 532.784659852482}],[{'Frequency_의류/이미용_중가': 172.93580466256262}]
2596,[{'Frequency_식품/생활_중가': 750.9418255339106}],[{'Frequency_식품/생활_저가': 275.094579840982}]
2597,[{'Frequency_식품/생활_중가': 266.9039425705861}],[{'Frequency_의류/이미용_중가': 185.7038123310529}]
2598,[{'Frequency_식품/생활_중가': 205.55477703900024}],[{'Frequency_의류/이미용_중가': 98.4626972033497}]
2599,[{'Frequency_식품/생활_중가': 953.2180046341294}],[{'Frequency_식품/생활_저가': 423.3935961668182}]
2600,[{'Frequency_식품/생활_중가': 1268.2679313877056}],[{'Frequency_식품/생활_저가': 517.8057005407272}]
2601,[{'Frequency_식품/생활_중가': 392.3903165052644}],[{'Frequency_의류/이미용_중가': 230.19970247606506}]
2602,[{'Frequency_식품/생활_중가': 1154.0850039318648}],[{'Frequency_식품/생활_저가': 814.0254461149251}]
2603,[{'Frequency_식품/생활_중가': 1037.337122856917}],[{'Frequency_식품/생활_저가': 334.5835148828614}]
2604,[{'Frequency_식품/생활_중가': 636.0748454356691}],[{'Frequency_식품/생활_저가': 586.9509519009113}]
2605,[{'Frequency_식품/생활_중가': 627.8740343355931}],[{'Frequency_가구인테리어/잡화_저가': 84.90687642622648}]
2606,[{'Frequency_식품/생활_중가': 459.7416678536125}],[{'Frequency_식품/생활_저가': 207.47162814995707}]
2607,[{'Frequency_식품/생활_저가': 735.6849399976586}],[{'Frequency_식품/생활_중가': 720.6279074139878}]
2608,[{'Frequency_식품/생활_중가': 390.26220996490144}],[{'Frequency_식품/생활_저가': 261.5918994395751}]
2609,[{'Frequency_식품/생활_중가': 1064.243250881889}],[{'Frequency_식품/생활_저가': 441.0039731109795}]
2610,[{'Frequency_식품/생활_중가': 603.9974063512263}],[{'Frequency_식품/생활_저가': 546.3674154021996}]
2611,[{'Frequency_식품/생활_중가': 1753.1796410342104}],[{'Frequency_식품/생활_저가': 1200.113701962106}]
2612,[{'Frequency_식품/생활_중가': 178.99468642124916}],[{'Frequency_의류/이미용_고가': 90.26277228209942}]
2613,[{'Frequency_식품/생활_중가': 342.29194424640804}],[{'Frequency_의류/이미용_중가': 126.33902043260053}]
2614,[{'Frequency_식품/생활_중가': 926.715715333248}],[{'Frequency_식품/생활_저가': 251.8446198735957}]
2615,[{'Frequency_식품/생활_중가': 707.761067460641}],[{'Frequency_식품/생활_고가': 228.64218230345364}]
2616,[{'Frequency_식품/생활_중가': 471.32971686133754}],[{'Frequency_식품/생활_고가': 90.16578795744213}]
2617,[{'Frequency_식품/생활_중가': 824.6102428636157}],[{'Frequency_식품/생활_저가': 465.18048952167476}]
2618,[{'Frequency_식품/생활_중가': 1828.2699963115565}],[{'Frequency_식품/생활_저가': 813.0103779837644}]
2619,[{'Frequency_식품/생활_중가': 455.25584537310004}],[{'Frequency_의류/이미용_고가': 133.53708269990057}]
2620,[{'Frequency_식품/생활_중가': 931.1490396422986}],[{'Frequency_식품/생활_저가': 370.68832313759947}]
2622,[{'Frequency_식품/생활_중가': 1115.0540188604393}],[{'Frequency_식품/생활_저가': 750.2101888041896}]
2623,[{'Frequency_식품/생활_중가': 197.17456231657897}],[{'Frequency_침구/주방_고가': 189.35724605594808}]
2624,[{'Frequency_식품/생활_중가': 236.58513049990484}],[{'Frequency_의류/이미용_중가': 77.22311504561222}]
2625,[{'Frequency_식품/생활_중가': 561.1388869884379}],[{'Frequency_식품/생활_저가': 306.4588097421621}]
2626,[{'Frequency_식품/생활_중가': 205.4178965472819}],[{'Frequency_의류/이미용_중가': 114.9743867127433}]
2627,[{'Frequency_식품/생활_중가': 485.49413675796944}],[{'Frequency_식품/생활_고가': 68.11677960196306}]
2628,[{'Frequency_식품/생활_중가': 733.8115052398241}],[{'Frequency_식품/생활_저가': 731.752381439923}]
2629,[{'Frequency_식품/생활_중가': 1865.2767874874296}],[{'Frequency_식품/생활_저가': 1747.1261593867903}]
2630,[{'Frequency_식품/생활_중가': 821.7672011883454}],[{'Frequency_식품/생활_저가': 599.6207015418206}]
2631,[{'Frequency_식품/생활_중가': 367.62134556243717}],[{'Frequency_식품/생활_고가': 118.84948793899966}]
2632,[{'Frequency_식품/생활_중가': 578.1153665588187}],[{'Frequency_식품/생활_저가': 210.2652818235669}]
2633,[{'Frequency_식품/생활_중가': 476.46944766648215}],[{'Frequency_의류/이미용_중가': 104.67146242171479}]
2634,[{'Frequency_식품/생활_중가': 346.11501073353736}],[{'Frequency_식품/생활_고가': 128.81168241654555}]
2635,[{'Frequency_식품/생활_중가': 1110.0253530213752}],[{'Frequency_식품/생활_저가': 508.6258844415045}]
2636,[{'Frequency_식품/생활_중가': 996.6534541399882}],[{'Frequency_식품/생활_저가': 540.7204224532508}]
2637,[{'Frequency_식품/생활_중가': 943.6968541031673}],[{'Frequency_식품/생활_저가': 343.7365955518414}]
2638,[{'Frequency_식품/생활_중가': 256.7245574572685}],[{'Frequency_의류/이미용_중가': 105.69007370107508}]
2639,[{'Frequency_식품/생활_중가': 426.48624304852314}],[{'Frequency_식품/생활_고가': 150.54997595855207}]
2640,[{'Frequency_침구/주방_고가': 398.1056986457677}],[{'Frequency_식품/생활_중가': 92.88288084098384}]
2641,[{'Frequency_식품/생활_중가': 193.36215857305376}],[{'Frequency_의류/이미용_중가': 124.49919851806594}]
2642,[{'Frequency_식품/생활_중가': 298.34349841793573}],[{'Frequency_의류/이미용_중가': 80.41579625410016}]
2643,[{'Frequency_식품/생활_중가': 335.5050767305334}],[{'Frequency_가전/레저취미/멀티샵_고가': 137.84525967986147}]
2644,[{'Frequency_식품/생활_중가': 1199.9091320849395}],[{'Frequency_식품/생활_저가': 780.8908594705057}]
2645,[{'Frequency_식품/생활_중가': 514.7660920703396}],[{'Frequency_식품/생활_고가': 121.0014055545735}]
2646,[{'Frequency_식품/생활_중가': 625.2621480562502}],[{'Frequency_식품/생활_고가': 164.71954858430604}]
2647,[{'Frequency_식품/생활_중가': 1046.5139323295416}],[{'Frequency_식품/생활_저가': 958.3931365727018}]
2648,[{'Frequency_식품/생활_중가': 874.6269073745307}],[{'Frequency_식품/생활_저가': 499.08590439597197}]
2649,[{'Frequency_식품/생활_중가': 704.0512813682071}],[{'Frequency_식품/생활_저가': 366.69909623604303}]
2650,[{'Frequency_식품/생활_중가': 710.8627624093785}],[{'Frequency_식품/생활_저가': 544.5924124720289}]
2651,[{'Frequency_식품/생활_중가': 881.1193880207427}],[{'Frequency_식품/생활_저가': 853.4653939003581}]
2652,[{'Frequency_식품/생활_중가': 1200.1829291055499}],[{'Frequency_식품/생활_저가': 446.30732590402016}]
2653,[{'Frequency_식품/생활_중가': 280.1656198457184}],[{'Frequency_의류/이미용_중가': 60.9466531467981}]
2654,[{'Frequency_식품/생활_중가': 902.3856042339047}],[{'Frequency_식품/생활_저가': 568.6987093312255}]
2655,[{'Frequency_식품/생활_중가': 152.277898259218}],[{'Frequency_의류/이미용_고가': 72.32539103282772}]
2656,[{'Frequency_식품/생활_중가': 175.30037436903675}],[{'Frequency_의류/이미용_중가': 103.94098162964477}]
2657,[{'Frequency_식품/생활_중가': 287.9794813742781}],[{'Frequency_의류/이미용_중가': 205.1642907989617}]
2658,[{'Frequency_식품/생활_중가': 1172.6800854461176}],[{'Frequency_식품/생활_저가': 481.8279243940498}]
2659,[{'Frequency_식품/생활_중가': 1264.6884414508406}],[{'Frequency_식품/생활_저가': 547.9739754298724}]
2660,[{'Frequency_식품/생활_중가': 386.76125343788823}],[{'Frequency_식품/생활_저가': 307.41796660451}]
2661,[{'Frequency_식품/생활_중가': 646.982969865414}],[{'Frequency_식품/생활_고가': 95.2347299836}]
2662,[{'Frequency_식품/생활_중가': 287.7114725379696}],[{'Frequency_의류/이미용_중가': 89.71438596488623}]
2663,[{'Frequency_식품/생활_중가': 281.5872382600059}],[{'Frequency_의류/이미용_고가': 115.76317422295091}]
2664,[{'Frequency_식품/생활_중가': 713.9684778025339}],[{'Frequency_의류/이미용_중가': 123.35438853826484}]
2665,[{'Frequency_의류/이미용_중가': 304.07279153262243}],[{'Frequency_가전/레저취미/멀티샵_고가': 138.0175309049662}]
2666,[{'Frequency_식품/생활_중가': 815.6990933804893}],[{'Frequency_식품/생활_저가': 411.83818178216677}]
2667,[{'Frequency_식품/생활_중가': 697.4546404382468}],[{'Frequency_식품/생활_고가': 191.25122242092775}]
2668,[{'Frequency_식품/생활_저가': 996.4896865322352}],[{'Frequency_식품/생활_중가': 855.7125931363511}]
2669,[{'Frequency_식품/생활_중가': 383.40145442383795}],[{'Frequency_식품/생활_고가': 157.53898922163864}]
2670,[{'Frequency_식품/생활_중가': 1945.5468657024799}],[{'Frequency_식품/생활_저가': 1642.5213662926562}]
2671,[{'Frequency_식품/생활_중가': 365.52363840642136}],[{'Frequency_의류/이미용_중가': 180.13036969919995}]
2672,[{'Frequency_식품/생활_중가': 426.7153319726594}],[{'Frequency_식품/생활_저가': 233.11160139300299}]
2673,[{'Frequency_식품/생활_중가': 816.7884200657928}],[{'Frequency_식품/생활_저가': 255.95419687419746}]
2674,[{'Frequency_식품/생활_중가': 683.8838641756673}],[{'Frequency_식품/생활_저가': 652.8025252405643}]
2675,[{'Frequency_식품/생활_중가': 330.865406519161}],[{'Frequency_의류/이미용_중가': 96.18687130075097}]
2676,[{'Frequency_식품/생활_저가': 1341.7189553397648}],[{'Frequency_식품/생활_중가': 1062.7907429733705}]
2677,[{'Frequency_의류/이미용_중가': 200.05896818722573}],[{'Frequency_식품/생활_중가': 115.07208775389299}]
2678,[{'Frequency_식품/생활_중가': 1024.355592790997}],[{'Frequency_식품/생활_저가': 268.51525547460204}]
2679,[{'Frequency_식품/생활_중가': 215.3878700816774}],[{'Frequency_의류/이미용_중가': 189.87800744180075}]
2680,[{'Frequency_식품/생활_중가': 326.96280242605496}],[{'Frequency_식품/생활_저가': 307.30502129212095}]
2681,[{'Frequency_식품/생활_중가': 1280.0072430039402}],[{'Frequency_식품/생활_저가': 691.7020275981554}]
2682,[{'Frequency_식품/생활_중가': 229.42561227149162}],[{'Frequency_의류/이미용_중가': 106.60044474782647}]
2683,[{'Frequency_식품/생활_중가': 891.5899632341789}],[{'Frequency_식품/생활_저가': 803.4961799426162}]
2684,[{'Frequency_식품/생활_중가': 713.3007040787609}],[{'Frequency_식품/생활_저가': 404.0792513726161}]
2685,[{'Frequency_식품/생활_중가': 662.42511640101}],[{'Frequency_식품/생활_저가': 539.2341938409993}]
2686,[{'Frequency_식품/생활_중가': 452.3249187773969}],[{'Frequency_식품/생활_저가': 260.2255356517931}]
2687,[{'Frequency_식품/생활_중가': 730.0594215185066}],[{'Frequency_식품/생활_저가': 328.6694255146083}]
2688,[{'Frequency_식품/생활_저가': 1458.7591517594553}],[{'Frequency_식품/생활_중가': 1022.6950817030149}]
2689,[{'Frequency_식품/생활_저가': 1223.7211910792635}],[{'Frequency_식품/생활_중가': 830.460884409421}]
2690,[{'Frequency_식품/생활_중가': 457.45888485385336}],[{'Frequency_식품/생활_고가': 125.46621170046335}]
2691,[{'Frequency_식품/생활_중가': 355.6213442551234}],[{'Frequency_의류/이미용_중가': 160.72304555919965}]
2692,[{'Frequency_식품/생활_중가': 286.88248949745184}],[{'Frequency_의류/이미용_중가': 96.71484944305885}]
2693,[{'Frequency_식품/생활_중가': 661.3670872834256}],[{'Frequency_식품/생활_저가': 155.45461186679827}]
2694,[{'Frequency_식품/생활_중가': 671.0735906386756}],[{'Frequency_식품/생활_저가': 521.4102394549155}]
2695,[{'Frequency_식품/생활_중가': 769.751204563858}],[{'Frequency_식품/생활_저가': 311.4819902479161}]
2696,[{'Frequency_식품/생활_중가': 134.43342232228173}],[{'Frequency_의류/이미용_중가': 122.63833183689891}]
2697,[{'Frequency_식품/생활_중가': 263.7427577554959}],[{'Frequency_식품/생활_고가': 80.94491013576409}]
2698,[{'Frequency_식품/생활_중가': 448.12948232817104}],[{'Frequency_의류/이미용_중가': 133.60345097545152}]
2699,[{'Frequency_식품/생활_중가': 1011.4971865469201}],[{'Frequency_식품/생활_저가': 689.4845121758291}]
2700,[{'Frequency_식품/생활_중가': 661.8542773298782}],[{'Frequency_식품/생활_저가': 498.1473179279641}]
2701,[{'Frequency_식품/생활_중가': 1326.4633989799656}],[{'Frequency_식품/생활_저가': 728.3282175042815}]
2702,[{'Frequency_식품/생활_중가': 475.6518606651456}],[{'Frequency_식품/생활_저가': 88.10504921913231}]
2703,[{'Frequency_식품/생활_저가': 1070.9598270393683}],[{'Frequency_식품/생활_중가': 959.1525738270635}]
2704,[{'Frequency_식품/생활_중가': 641.2271050173284}],[{'Frequency_식품/생활_저가': 557.7151044562987}]
2705,[{'Frequency_식품/생활_중가': 604.0174723784728}],[{'Frequency_가구인테리어/잡화_저가': 119.89562569066602}]
2706,[{'Frequency_식품/생활_중가': 489.5771418737224}],[{'Frequency_가구인테리어/잡화_저가': 147.80469993392683}]
2707,[{'Frequency_식품/생활_중가': 341.24699402875297}],[{'Frequency_의류/이미용_중가': 147.00400767769585}]
2708,[{'Frequency_식품/생활_중가': 490.91137096893704}],[{'Frequency_식품/생활_저가': 76.10164866049993}]
2710,[{'Frequency_식품/생활_중가': 812.6811928525137}],[{'Frequency_식품/생활_고가': 239.33807820296227}]
2711,[{'Frequency_식품/생활_중가': 1130.2544770191307}],[{'Frequency_식품/생활_저가': 669.5527619396478}]
2712,[{'Frequency_식품/생활_중가': 765.5132844849188}],[{'Frequency_식품/생활_저가': 158.2073290060764}]
2713,[{'Frequency_식품/생활_중가': 1024.9953432824184}],[{'Frequency_식품/생활_저가': 468.1421458600709}]
2714,[{'Frequency_식품/생활_중가': 734.5792635536961}],[{'Frequency_식품/생활_저가': 228.99245893228675}]
2715,[{'Frequency_식품/생활_중가': 769.0314229930924}],[{'Frequency_식품/생활_저가': 358.7178998492565}]
2716,[{'Frequency_식품/생활_중가': 422.58944653117476}],[{'Frequency_식품/생활_저가': 139.18963291869085}]
2717,[{'Frequency_식품/생활_중가': 152.91974811934898}],[{'Frequency_의류/이미용_중가': 126.11047438926488}]
2718,[{'Frequency_식품/생활_중가': 444.80592915739396}],[{'Frequency_식품/생활_고가': 80.62140793277734}]
2719,[{'Frequency_식품/생활_중가': 1193.7434099356594}],[{'Frequency_식품/생활_저가': 651.776470250264}]
2720,[{'Frequency_식품/생활_중가': 262.54455258020676}],[{'Frequency_의류/이미용_중가': 121.20347904166695}]
2721,[{'Frequency_식품/생활_중가': 744.3192073307722}],[{'Frequency_식품/생활_저가': 191.82971210216596}]
2722,[{'Frequency_식품/생활_중가': 722.7939152529301}],[{'Frequency_식품/생활_저가': 566.06347218791}]
2723,[{'Frequency_식품/생활_중가': 730.6148093872854}],[{'Frequency_식품/생활_저가': 282.06012111606793}]
2724,[{'Frequency_식품/생활_저가': 312.52589575464276}],[{'Frequency_식품/생활_중가': 283.39647273528726}]
2725,[{'Frequency_의류/이미용_중가': 157.47500741550917}],[{'Frequency_식품/생활_중가': 115.99195296076748}]
2726,[{'Frequency_식품/생활_중가': 175.58258001872602}],[{'Frequency_의류/이미용_고가': 153.25881783590543}]
2727,[{'Frequency_식품/생활_중가': 1279.2294085102114}],[{'Frequency_식품/생활_저가': 470.245443716562}]
2728,[{'Frequency_식품/생활_저가': 797.3323693216387}],[{'Frequency_식품/생활_중가': 700.9902832066732}]
2729,[{'Frequency_식품/생활_중가': 517.3467109331439}],[{'Frequency_식품/생활_고가': 103.90694644383233}]
2730,[{'Frequency_식품/생활_중가': 626.6296612825721}],[{'Frequency_식품/생활_저가': 456.12890838460834}]
2731,[{'Frequency_식품/생활_중가': 490.88594371891713}],[{'Frequency_식품/생활_고가': 51.487619835816695}]
2732,[{'Frequency_식품/생활_중가': 779.917267688555}],[{'Frequency_식품/생활_저가': 514.5289661392158}]
2733,[{'Frequency_식품/생활_중가': 991.4610950945972}],[{'Frequency_식품/생활_저가': 423.03230035374673}]
2734,[{'Frequency_식품/생활_중가': 979.0470031388151}],[{'Frequency_식품/생활_저가': 833.7972035973456}]
2735,[{'Frequency_식품/생활_중가': 416.0539589368593}],[{'Frequency_식품/생활_고가': 112.22713993838882}]
2736,[{'Frequency_식품/생활_중가': 448.8093619310886}],[{'Frequency_식품/생활_저가': 53.02451720281104}]
2737,[{'Frequency_식품/생활_중가': 571.9846900087047}],[{'Frequency_식품/생활_저가': 261.8667235049484}]
2738,[{'Frequency_식품/생활_중가': 1517.1670223068788}],[{'Frequency_식품/생활_저가': 1198.8765439606047}]
2739,[{'Frequency_식품/생활_중가': 692.6758331983779}],[{'Frequency_식품/생활_저가': 259.92335987985143}]
2740,[{'Frequency_식품/생활_중가': 749.2365160877418}],[{'Frequency_식품/생활_저가': 640.5042610831426}]
2741,[{'Frequency_식품/생활_중가': 205.65383501938067}],[{'Frequency_의류/이미용_중가': 161.35084556092545}]
2742,[{'Frequency_식품/생활_중가': 61.959566021178645}],[{'Frequency_의류/이미용_중가': 45.19787280404057}]
2743,[{'Frequency_식품/생활_저가': 1641.7166336922185}],[{'Frequency_식품/생활_중가': 1188.0204857262972}]
2744,[{'Frequency_식품/생활_중가': 554.8926320752017}],[{'Frequency_식품/생활_저가': 313.39070442136034}]
2745,[{'Frequency_식품/생활_중가': 905.7136228663364}],[{'Frequency_식품/생활_저가': 368.84977492658635}]
2746,[{'Frequency_식품/생활_중가': 636.423676418107}],[{'Frequency_식품/생활_저가': 313.0555918951533}]
2747,[{'Frequency_식품/생활_중가': 905.0340829062307}],[{'Frequency_식품/생활_저가': 559.7943978432126}]
2748,[{'Frequency_식품/생활_저가': 922.0069848059138}],[{'Frequency_식품/생활_중가': 735.3844935905385}]
2749,[{'Frequency_식품/생활_중가': 717.7096018875034}],[{'Frequency_식품/생활_저가': 203.87826068572556}]
2750,[{'Frequency_식품/생활_중가': 696.9988394426441}],[{'Frequency_식품/생활_저가': 683.4340760222008}]
2751,[{'Frequency_식품/생활_중가': 668.916349665404}],[{'Frequency_식품/생활_고가': 223.14205635971794}]
2752,[{'Frequency_식품/생활_중가': 555.7407013122848}],[{'Frequency_식품/생활_저가': 333.3408944197726}]
2753,[{'Frequency_식품/생활_중가': 451.8791932436489}],[{'Frequency_식품/생활_고가': 150.6282063054199}]
2754,[{'Frequency_식품/생활_중가': 1194.1443501132671}],[{'Frequency_식품/생활_저가': 753.795297761428}]
2755,[{'Frequency_식품/생활_중가': 969.8099745510908}],[{'Frequency_식품/생활_저가': 350.3358877870221}]
2756,[{'Frequency_식품/생활_중가': 641.9961348866341}],[{'Frequency_식품/생활_저가': 458.95148725147504}]
2757,[{'Frequency_식품/생활_중가': 282.31369655988175}],[{'Frequency_가구인테리어/잡화_저가': 105.72199368103097}]
2758,[{'Frequency_식품/생활_중가': 596.6916294276434}],[{'Frequency_식품/생활_저가': 268.28616662092537}]
2759,[{'Frequency_식품/생활_중가': 879.0885265312274}],[{'Frequency_식품/생활_저가': 155.27222070204587}]
2760,[{'Frequency_식품/생활_중가': 480.92006118760884}],[{'Frequency_식품/생활_저가': 202.73876655579528}]
2761,[{'Frequency_식품/생활_중가': 604.871646390215}],[{'Frequency_식품/생활_저가': 195.47539761123218}]
2762,[{'Frequency_식품/생활_중가': 643.2517241528299}],[{'Frequency_식품/생활_저가': 218.53089675665424}]
2763,[{'Frequency_식품/생활_중가': 638.6212899979806}],[{'Frequency_가구인테리어/잡화_저가': 117.02165265232506}]
2764,[{'Frequency_식품/생활_중가': 746.267220824442}],[{'Frequency_식품/생활_저가': 616.0769886693421}]
2765,[{'Frequency_식품/생활_중가': 750.0771747967216}],[{'Frequency_식품/생활_저가': 430.8548373028227}]
2766,[{'Frequency_식품/생활_중가': 991.4604617166241}],[{'Frequency_식품/생활_저가': 881.5416248655142}]
2767,[{'Frequency_식품/생활_중가': 569.979527984922}],[{'Frequency_식품/생활_저가': 284.88115031893767}]
2768,[{'Frequency_식품/생활_중가': 339.47676049520754}],[{'Frequency_의류/이미용_중가': 203.47895293098875}]
2769,[{'Frequency_식품/생활_저가': 1458.2813204900492}],[{'Frequency_식품/생활_중가': 1270.695287685304}]
2770,[{'Frequency_식품/생활_중가': 651.5067591321856}],[{'Frequency_식품/생활_저가': 483.3533796483051}]
2771,[{'Frequency_식품/생활_중가': 388.6589563627818}],[{'Frequency_식품/생활_고가': 52.9781915851831}]
2772,[{'Frequency_식품/생활_중가': 459.1985265954851}],[{'Frequency_교육문화/아동_중가': 144.12746769292104}]
2774,[{'Frequency_식품/생활_중가': 747.6276802143498}],[{'Frequency_식품/생활_고가': 221.28781100811304}]
2775,[{'Frequency_식품/생활_중가': 291.9703471889636}],[{'Frequency_식품/생활_저가': 282.99831772806357}]
2776,[{'Frequency_식품/생활_중가': 192.6898264771763}],[{'Frequency_의류/이미용_중가': 117.65601442512565}]
2777,[{'Frequency_식품/생활_중가': 723.0797382442822}],[{'Frequency_식품/생활_고가': 152.19124696320293}]
2778,[{'Frequency_식품/생활_중가': 251.13401598146905}],[{'Frequency_식품/생활_고가': 120.75010157286259}]
2779,[{'Frequency_식품/생활_중가': 1523.1219907631335}],[{'Frequency_식품/생활_저가': 714.5790726701588}]
2780,[{'Frequency_식품/생활_중가': 274.09251634766485}],[{'Frequency_의류/이미용_중가': 83.54955158647059}]
2781,[{'Frequency_식품/생활_중가': 623.472491008579}],[{'Frequency_식품/생활_저가': 226.19996273265383}]
2782,[{'Frequency_식품/생활_중가': 318.2394770752387}],[{'Frequency_식품/생활_저가': 160.2721230669479}]
2783,[{'Frequency_식품/생활_중가': 546.5881742568749}],[{'Frequency_식품/생활_저가': 344.7045709989983}]
2784,[{'Frequency_식품/생활_중가': 1194.825866577711}],[{'Frequency_식품/생활_저가': 870.8820510127683}]
2785,[{'Frequency_식품/생활_중가': 373.01762814434653}],[{'Frequency_식품/생활_저가': 183.26509299828433}]
2786,[{'Frequency_의류/이미용_중가': 166.2409380482337}],[{'Frequency_식품/생활_중가': 160.5361179299736}]
2787,[{'Frequency_식품/생활_저가': 788.0346762406202}],[{'Frequency_식품/생활_중가': 696.3946128763887}]
2788,[{'Frequency_식품/생활_중가': 1171.9301856446064}],[{'Frequency_식품/생활_저가': 635.5754691515564}]
2789,[{'Frequency_식품/생활_중가': 1132.6295796493794}],[{'Frequency_식품/생활_저가': 552.2461568349023}]
